seed,site_id,class_id,selected_pixels,correct_selected_pixels,true_foreground_pixels,candidate_pixels,selected_precision,selected_foreground_coverage,selected_candidate_fraction,median_per_case_coverage,selected_case_fraction,labeled_case_count,unlabeled_case_count,labeled_oracle_cosine,labeled_unlabeled_oracle_cosine,delta_lu,hidden_gt_usage
0,REFUGE,1,115854,96595,124202,122227,0.8337649110086833,0.77772499637687,0.9478593109542082,0.8182368915107652,1.0,40,160,0.9977006912231445,0.9978798627853394,0.00017917156219482422,post_hoc_only
0,REFUGE,2,38977,33329,44724,40167,0.8550940298124535,0.7452150970396207,0.9703736898448976,0.829505415633564,1.0,40,160,0.9922770261764526,0.9864816665649414,-0.0057953596115112305,post_hoc_only
0,RIM_ONE_r3,1,35252,25970,40603,38264,0.7366957903097696,0.6396079107455114,0.9212837131507422,0.6764275256222547,1.0,16,62,0.9743773937225342,0.9927555322647095,0.018378138542175293,post_hoc_only
0,RIM_ONE_r3,2,11199,9321,17207,12195,0.8323064559335654,0.54169814610333,0.9183271832718327,0.6776859504132231,1.0,16,63,0.9259554743766785,0.9544929265975952,0.028537452220916748,post_hoc_only
0,Drishti_GS,1,25406,17344,34556,28009,0.6826733842399433,0.5019099432804722,0.907065586061623,0.5012531328320802,0.9512195121951219,10,39,0.8418352007865906,0.9726098775863647,0.13077467679977417,post_hoc_only
0,Drishti_GS,2,15181,14024,29014,17547,0.9237863118371649,0.48335286413455575,0.86516213597766,0.5303867403314917,1.0,10,41,0.8283687233924866,0.9525219798088074,0.1241532564163208,post_hoc_only
0,ALL,1,176512,139909,199361,188500,0.7926316624365483,0.7017872101363858,0.9364031830238727,0.784864872600113,0.9924242424242424,66,261,nan,nan,nan,post_hoc_only
0,ALL,2,65357,56674,90945,69909,0.8671450647979558,0.6231678486997636,0.934886781387232,0.7531498037827151,1.0,66,264,nan,nan,nan,post_hoc_only
1,REFUGE,1,128117,106023,124624,129855,0.8275482566716361,0.8507430350494287,0.9866158407454468,0.8753580776403691,1.0,40,160,0.9987918138504028,0.998798131942749,6.318092346191406e-06,post_hoc_only
1,REFUGE,2,36214,32460,46121,36944,0.8963384326503562,0.7038008716203031,0.9802403637938502,0.8220879120879121,1.0,40,159,0.9830154180526733,0.9744047522544861,-0.008610665798187256,post_hoc_only
1,RIM_ONE_r3,1,35063,27086,41400,36750,0.7724952228845221,0.6542512077294687,0.9540952380952381,0.6926070038910506,1.0,16,63,0.9893266558647156,0.995948851108551,0.006622195243835449,post_hoc_only
1,RIM_ONE_r3,2,10978,9057,17598,11873,0.8250136636910184,0.5146607569041937,0.9246188831803251,0.6768060836501901,0.9523809523809523,16,60,0.9347825050354004,0.9513205289840698,0.016538023948669434,post_hoc_only
1,Drishti_GS,1,28509,20981,36082,30445,0.7359430355326388,0.5814810708940746,0.9364099195270159,0.6798623063683304,1.0,10,41,0.9179216027259827,0.9888849258422852,0.07096332311630249,post_hoc_only
1,Drishti_GS,2,19000,16202,24102,20523,0.8527368421052631,0.6722263712554974,0.9257905764264484,0.7729357798165137,1.0,10,41,0.9061298370361328,0.9902763962745667,0.08414655923843384,post_hoc_only
1,ALL,1,191689,154090,202106,197050,0.8038541596022725,0.7624216995042206,0.9727937071809185,0.8318588432440425,1.0,66,264,nan,nan,nan,post_hoc_only
1,ALL,2,66192,57719,87821,69340,0.8719935943920716,0.6572346022022068,0.954600519180848,0.7708300395256917,0.9886363636363636,66,260,nan,nan,nan,post_hoc_only
2,REFUGE,1,102783,92464,125882,108451,0.8996040201200588,0.7345291622312959,0.9477367659127164,0.7525697477900257,1.0,40,160,0.9974129796028137,0.9955365061759949,-0.0018764734268188477,post_hoc_only
2,REFUGE,2,38625,33594,44514,41149,0.8697475728155339,0.7546839196657231,0.9386619358915163,0.8326072584882953,1.0,40,160,0.994284987449646,0.9909140467643738,-0.003370940685272217,post_hoc_only
2,RIM_ONE_r3,1,33022,25755,41563,36926,0.7799345890618375,0.619661718355268,0.8942750365596057,0.6666666666666666,0.9841269841269841,16,62,0.9882057309150696,0.9916949272155762,0.003489196300506592,post_hoc_only
2,RIM_ONE_r3,2,11261,8347,14830,11892,0.7412307965544801,0.562845583277141,0.9469391187352842,0.7021276595744681,0.9841269841269841,16,61,0.958086371421814,0.9633520841598511,0.005265712738037109,post_hoc_only
2,Drishti_GS,1,27327,18885,33227,28502,0.691074761225162,0.5683630782195203,0.9587748228194513,0.6417657045840407,1.0,10,41,0.9440111517906189,0.9774136543273926,0.03340250253677368,post_hoc_only
2,Drishti_GS,2,19220,17651,30652,20736,0.918366285119667,0.5758514941928748,0.9268904320987654,0.5951219512195122,1.0,10,40,0.9289702773094177,0.9700594544410706,0.04108917713165283,post_hoc_only
2,ALL,1,163132,137104,200672,173879,0.8404482259765098,0.6832243661298039,0.9381926512114747,0.7362184359685464,0.9962121212121212,66,263,nan,nan,nan,post_hoc_only
2,ALL,2,69106,59592,89996,73777,0.8623274390067432,0.6621627627894573,0.936687585561896,0.7784237726098191,0.9962121212121212,66,261,nan,nan,nan,post_hoc_only
