seed,transition,update_batch,variant,relation_mode,relation_loss,relation_gradient_norm,relation_gradient_norm_ratio_to_b0,cos_relation_with_sup,cos_relation_with_assim,sup_gradient_norm,assim_gradient_norm,total_gradient_norm,old_winner_count_class0,old_winner_count_class1,old_winner_count_class2,per_class_loss0,per_class_loss1,per_class_loss2,boundary_relation_loss,interior_relation_loss,valid_count,pair_count,present_class_count,probability_sum_error,b0_r0_loss_abs_error,all_finite,hidden_gt_usage,optimizer_step_called
1,REFUGE->RIM_ONE_r3,0,B0,categorical_pixel_mean,0.005499106831848621,0.1016336977481842,1.0,-0.042786020785570145,0.3698351979255676,0.27245888113975525,0.25341862440109253,0.4098377525806427,32520,2979,985,0.001943274401128292,0.029929842799901962,0.04900825768709183,0.056462761014699936,0.0271284356713295,36484,36484,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,0,B1,categorical_class_balanced,0.026960458606481552,1.20769202709198,11.882791375792058,-0.08414015173912048,0.31063032150268555,0.27245888113975525,0.25341862440109253,1.3169004917144775,32520,2979,985,0.001943274401128292,0.029929842799901962,0.04900825768709183,0.07041479647159576,0.060472872108221054,36484,36484,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,0,B2,top2_pairwise_class_balanced,0.0266460832208395,1.2082034349441528,11.887823248719087,-0.08435655385255814,0.31192511320114136,0.27245888113975525,0.25341862440109253,1.3176358938217163,32520,2979,985,0.0019390544621273875,0.029153726994991302,0.04884546995162964,0.07008656859397888,0.06006456911563873,36484,36484,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,0,B3,all_pairwise_class_balanced,0.01349584385752678,0.6044371128082275,5.947211665030917,-0.08429952710866928,0.3100137710571289,0.27245888113975525,0.25341862440109253,0.7572976350784302,32520,2979,985,0.0009755567298270762,0.014995240606367588,0.02451673522591591,0.035328466445207596,0.030367892235517502,36484,72968,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,1,B0,categorical_pixel_mean,0.011426267214119434,0.17653843760490417,1.0,-0.32382479310035706,-0.301272451877594,0.584113597869873,0.21877363324165344,0.6097030639648438,31841,3801,500,0.004671587608754635,0.0553828626871109,0.10741972178220749,0.07734277844429016,0.034331221133470535,36142,36142,3,1.7881393432617188e-07,9.313225746154785e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,1,B1,categorical_class_balanced,0.055824726819992065,2.320741891860962,13.145816420188442,-0.24455083906650543,-0.21717827022075653,0.584113597869873,0.21877363324165344,2.2210187911987305,31841,3801,500,0.004671587608754635,0.0553828626871109,0.10741972178220749,0.1197650283575058,0.04366947337985039,36142,36142,3,1.7881393432617188e-07,9.313225746154785e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,1,B2,top2_pairwise_class_balanced,0.05336093530058861,2.176701068878174,12.329898793766745,-0.24395406246185303,-0.22695785760879517,0.584113597869873,0.21877363324165344,2.081388473510742,31841,3801,500,0.0046142530627548695,0.05161788687109947,0.10385065525770187,0.11855321377515793,0.04130930081009865,36142,36142,3,1.7881393432617188e-07,9.313225746154785e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,1,B3,all_pairwise_class_balanced,0.029507435858249664,1.1733986139297485,6.646703289375616,-0.20687983930110931,-0.1837058663368225,0.584113597869873,0.21877363324165344,1.1956533193588257,31841,3801,500,0.002363711129873991,0.027772294357419014,0.05838630348443985,0.060038357973098755,0.021874068304896355,36142,72284,3,1.7881393432617188e-07,9.313225746154785e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,2,B0,categorical_pixel_mean,0.008040587417781353,0.32309889793395996,1.0,0.25917303562164307,-0.828148365020752,0.36805984377861023,0.5131683945655823,0.376085102558136,31905,2707,1112,0.0031721594277769327,0.048976507037878036,0.048070862889289856,0.05348514765501022,0.03828088194131851,35724,35724,3,1.7881393432617188e-07,9.313225746154785e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,2,B1,categorical_class_balanced,0.03340651094913483,1.7442967891693115,5.398646669249359,0.13411857187747955,-0.5891486406326294,0.36805984377861023,0.5131683945655823,1.5524542331695557,31905,2707,1112,0.0031721594277769327,0.048976507037878036,0.048070862889289856,0.05115082487463951,0.05106944963335991,35724,35724,3,1.7881393432617188e-07,9.313225746154785e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,2,B2,top2_pairwise_class_balanced,0.032420992851257324,1.719344139099121,5.321417529101407,0.14020584523677826,-0.6036627292633057,0.36805984377861023,0.5131683945655823,1.522623896598816,31905,2707,1112,0.0031631572637706995,0.04751048609614372,0.046589337289333344,0.05041566491127014,0.049680985510349274,35724,35724,3,1.7881393432617188e-07,9.313225746154785e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,2,B3,all_pairwise_class_balanced,0.016842206940054893,0.87088543176651,2.695414429870681,0.1294603943824768,-0.5786342620849609,0.36805984377861023,0.5131683945655823,0.7578054070472717,31905,2707,1112,0.0015970750246196985,0.02458285167813301,0.024346692487597466,0.02569062076508999,0.025914205238223076,35724,71448,3,1.7881393432617188e-07,9.313225746154785e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,3,B0,categorical_pixel_mean,0.006066088564693928,0.10595474392175674,1.0,0.26707425713539124,-0.30378857254981995,0.24218200147151947,0.21811671555042267,0.2804332375526428,31368,3691,684,0.00210952409543097,0.034462809562683105,0.03427837789058685,0.05673719942569733,0.03101191110908985,35743,35743,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,3,B1,categorical_class_balanced,0.023616906255483627,0.6808967590332031,6.426298000739048,-0.15599752962589264,0.06823736429214478,0.24218200147151947,0.21811671555042267,0.7072436213493347,31368,3691,684,0.00210952409543097,0.034462809562683105,0.03427837789058685,0.10724785178899765,0.2416468858718872,35743,35743,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,3,B2,top2_pairwise_class_balanced,0.023113414645195007,0.6500739455223083,6.1353925408225365,-0.15692894160747528,0.07750575989484787,0.24218200147151947,0.21811671555042267,0.680375874042511,31368,3691,684,0.002104247687384486,0.03372931852936745,0.03350667655467987,0.10691933333873749,0.24102847278118134,35743,35743,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,3,B3,all_pairwise_class_balanced,0.01182071678340435,0.34055662155151367,3.214170587803042,-0.1559215486049652,0.06833190470933914,0.24218200147151947,0.21811671555042267,0.41007620096206665,31368,3691,684,0.0010644663125276566,0.017254723235964775,0.01714295893907547,0.05384748801589012,0.12407353520393372,35743,71486,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,4,B0,categorical_pixel_mean,0.007023822981864214,0.15295156836509705,1.0,0.10973570495843887,0.22024407982826233,0.32162871956825256,0.17731039226055145,0.384016752243042,33045,3007,812,0.002441067947074771,0.04237256944179535,0.06261923164129257,0.03856859356164932,0.028512408956885338,36864,36864,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,4,B1,categorical_class_balanced,0.035810958594083786,1.5784549713134766,10.319965909376538,0.06485435366630554,0.12807472050189972,0.32162871956825256,0.17731039226055145,1.652380347251892,33045,3007,812,0.002441067947074771,0.04237256944179535,0.06261923164129257,0.051397792994976044,0.03042566031217575,36864,36864,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,4,B2,top2_pairwise_class_balanced,0.03553476929664612,1.5787551403045654,10.321928419433137,0.06355735659599304,0.1292709857225418,0.32162871956825256,0.17731039226055145,1.6524909734725952,33045,3007,812,0.002434612950310111,0.04164507985115051,0.06252460926771164,0.05109257996082306,0.030178125947713852,36864,36864,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,4,B3,all_pairwise_class_balanced,0.017926108092069626,0.7895393371582031,5.16202184519981,0.06485514342784882,0.12821830809116364,0.32162871956825256,0.17731039226055145,0.8908168077468872,33045,3007,812,0.0012278504436835647,0.0212347861379385,0.03131568059325218,0.02573203854262829,0.015253650955855846,36864,73728,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,5,B0,categorical_pixel_mean,0.010969294235110283,0.3352294862270355,1.0,0.20691916346549988,0.7189236879348755,0.1971801519393921,1.0272045135498047,1.3525768518447876,30879,4083,458,0.0025186126586049795,0.06209709122776985,0.12492963671684265,0.059569355100393295,0.04662236198782921,35420,35420,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,5,B1,categorical_class_balanced,0.06318178027868271,3.651614189147949,10.8928788760392,0.2401951253414154,0.5644189715385437,0.1971801519393921,1.0272045135498047,4.371410369873047,30879,4083,458,0.0025186126586049795,0.06209709122776985,0.12492963671684265,0.05807950720191002,0.06572888791561127,35420,35420,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,5,B2,top2_pairwise_class_balanced,0.06084349751472473,3.390667676925659,10.114467301451269,0.2430824637413025,0.5693228840827942,0.1971801519393921,1.0272045135498047,4.120872974395752,30879,4083,458,0.0025121266953647137,0.057671159505844116,0.12234720587730408,0.055972617119550705,0.06309493631124496,35420,35420,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,5,B3,all_pairwise_class_balanced,0.03343301638960838,2.162020206451416,6.449373623975246,0.22962287068367004,0.5375431180000305,0.1971801519393921,1.0272045135498047,2.9072751998901367,30879,4083,458,0.0012650445569306612,0.031148415058851242,0.06788558512926102,0.0292592104524374,0.03454474359750748,35420,70840,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,6,B0,categorical_pixel_mean,0.006414799951016903,0.22470423579216003,1.0,0.3660452365875244,-0.7791168093681335,0.23914872109889984,0.2888379395008087,0.2839865982532501,32227,3310,586,0.0024502708110958338,0.040172237902879715,0.03376592695713043,0.04449006915092468,0.031118644401431084,36123,36123,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,6,B1,categorical_class_balanced,0.025462811812758446,0.7745251059532166,3.446864734092564,0.08233852684497833,-0.20756499469280243,0.23914872109889984,0.2888379395008087,0.7933804988861084,32227,3310,586,0.0024502708110958338,0.040172237902879715,0.03376592695713043,0.03801660239696503,0.03471913933753967,36123,36123,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,6,B2,top2_pairwise_class_balanced,0.02507423423230648,0.762599527835846,3.3937924006969395,0.07752557098865509,-0.2041599154472351,0.23914872109889984,0.2888379395008087,0.7821980118751526,32227,3310,586,0.002445665653795004,0.03901926428079605,0.0337577722966671,0.037487659603357315,0.03419476002454758,36123,36123,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,6,B3,all_pairwise_class_balanced,0.012748785316944122,0.38818472623825073,1.7275363095393619,0.08250228315591812,-0.20781788229942322,0.23914872109889984,0.2888379395008087,0.45973390340805054,32227,3310,586,0.0012298753717914224,0.020121660083532333,0.01689482107758522,0.019069526344537735,0.017425328493118286,36123,72246,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,7,B0,categorical_pixel_mean,0.00692916801199317,0.10112801194190979,1.0,-0.35898610949516296,0.22844816744327545,0.5453335046768188,0.270448237657547,0.46197086572647095,32298,2518,946,0.0026653411332517862,0.039936620742082596,0.06464619934558868,0.055982835590839386,0.04499697685241699,35762,35762,3,1.7881393432617188e-07,4.656612873077393e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,7,B1,categorical_class_balanced,0.03574938699603081,1.472139835357666,14.557191495105197,-0.17827998101711273,0.20185938477516174,0.5453335046768188,0.270448237657547,1.5072734355926514,32298,2518,946,0.0026653411332517862,0.039936620742082596,0.06464619934558868,0.06923636049032211,0.09803851693868637,35762,35762,3,1.7881393432617188e-07,4.656612873077393e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,7,B2,top2_pairwise_class_balanced,0.03469754755496979,1.456262469291687,14.400188843109039,-0.19108548760414124,0.20972082018852234,0.5453335046768188,0.270448237657547,1.4874845743179321,32298,2518,946,0.002656343625858426,0.03831378370523453,0.06312251091003418,0.06877513229846954,0.09638825058937073,35762,35762,3,1.7881393432617188e-07,4.656612873077393e-10,True,post_hoc_boundary_grouping_only,False
