seed,transition,layer,spearman_alpha_a_b,top_quartile_jaccard,bottom_quartile_jaccard,labeled_a,labeled_b,unlabeled_a,unlabeled_b
0,REFUGE->RIM_ONE_r3,dec3,0.9915750915750914,1.0,0.8823529411764706,8,8,32,31
0,REFUGE->RIM_ONE_r3,dec1,0.4213724057817913,0.3333333333333333,0.3333333333333333,8,8,32,31
0,RIM_ONE_r3->Drishti_GS,dec3,0.9913461538461537,0.8823529411764706,0.8823529411764706,5,5,21,20
0,RIM_ONE_r3->Drishti_GS,dec1,0.9791044776119404,1.0,0.6,5,5,21,20
1,REFUGE->RIM_ONE_r3,dec3,0.9934523809523808,0.8823529411764706,0.7777777777777778,8,8,32,31
1,REFUGE->RIM_ONE_r3,dec1,0.9646539027982328,0.6,0.6,8,8,32,31
1,RIM_ONE_r3->Drishti_GS,dec3,0.9804945054945053,0.7777777777777778,0.8823529411764706,5,5,21,20
1,RIM_ONE_r3->Drishti_GS,dec1,0.9941176470588236,1.0,1.0,5,5,21,20
2,REFUGE->RIM_ONE_r3,dec3,0.9908424908424907,1.0,0.7777777777777778,8,8,32,31
2,REFUGE->RIM_ONE_r3,dec1,0.3660525576931296,0.3333333333333333,0.3333333333333333,8,8,32,31
2,RIM_ONE_r3->Drishti_GS,dec3,0.9895146520146518,0.7777777777777778,0.8823529411764706,5,5,21,20
2,RIM_ONE_r3->Drishti_GS,dec1,0.9823529411764705,1.0,0.6,5,5,21,20
