seed,transition,partition,class_id,selected_pixels,correct_selected_pixels,true_pixels,precision,coverage,boundary_correct,boundary_true,boundary_coverage,interior_correct,interior_true,interior_coverage,hidden_gt_usage
1,REFUGE->RIM_ONE_r3,plastic,0,31306,22374,1043220,0.7146872803935348,0.021447058146891355,0,0,nan,0,0,nan,post_hoc_only
1,REFUGE->RIM_ONE_r3,plastic,1,8152,4166,82800,0.5110402355250245,0.050314009661835746,886,14620,0.06060191518467852,3280,68180,0.04810794954532121,post_hoc_only
1,REFUGE->RIM_ONE_r3,plastic,2,7034,4908,35196,0.6977537674154108,0.13944766450733037,386,4830,0.07991718426501035,4522,30366,0.14891655140617796,post_hoc_only
1,REFUGE->RIM_ONE_r3,rejected,0,5304,2232,1043220,0.42081447963800905,0.002139529533559556,0,0,nan,0,0,nan,post_hoc_only
1,REFUGE->RIM_ONE_r3,rejected,1,4540,2114,82800,0.4656387665198238,0.025531400966183573,470,14620,0.032147742818057455,1644,68180,0.024112643003813435,post_hoc_only
1,REFUGE->RIM_ONE_r3,rejected,2,4566,3736,35196,0.818221638195357,0.10614842595749517,168,4830,0.034782608695652174,3568,30366,0.11749983534215899,post_hoc_only
1,REFUGE->RIM_ONE_r3,stable,0,1016926,1008052,1043220,0.991273701331267,0.9662889898583232,0,0,nan,0,0,nan,post_hoc_only
1,REFUGE->RIM_ONE_r3,stable,1,67788,52800,82800,0.7788989201628607,0.6376811594202898,5616,14620,0.3841313269493844,47184,68180,0.6920504546787914,post_hoc_only
1,REFUGE->RIM_ONE_r3,stable,2,15600,12704,35196,0.8143589743589743,0.3609501079668144,1038,4830,0.21490683229813665,11666,30366,0.3841796746361062,post_hoc_only
1,RIM_ONE_r3->Drishti_GS,plastic,0,1211,987,944862,0.815028901734104,0.0010445969887666136,0,0,nan,0,0,nan,post_hoc_only
1,RIM_ONE_r3->Drishti_GS,plastic,1,44027,31895,107319,0.7244418197924001,0.2971980730345978,5055,18979,0.26634701512197695,26840,88340,0.3038261263300883,post_hoc_only
1,RIM_ONE_r3->Drishti_GS,plastic,2,28749,23679,72171,0.823646039862256,0.328095772540217,1298,6852,0.18943374197314652,22381,65319,0.3426414978796369,post_hoc_only
1,RIM_ONE_r3->Drishti_GS,rejected,0,4094,2729,944862,0.6665852467024914,0.002888252464381042,0,0,nan,0,0,nan,post_hoc_only
1,RIM_ONE_r3->Drishti_GS,rejected,1,22286,12726,107319,0.5710311406264023,0.11858105274928019,2876,18979,0.15153590810896253,9850,88340,0.11150101879103463,post_hoc_only
1,RIM_ONE_r3->Drishti_GS,rejected,2,18749,11163,72171,0.5953917542268921,0.15467431516814234,1290,6852,0.18826619964973731,9873,65319,0.1511505075093005,post_hoc_only
1,RIM_ONE_r3->Drishti_GS,stable,0,944937,924162,944862,0.9780144073096937,0.9780920388374176,0,0,nan,0,0,nan,post_hoc_only
1,RIM_ONE_r3->Drishti_GS,stable,1,37935,27721,107319,0.7307499670488994,0.25830468043869215,2413,18979,0.12714052373676168,25308,88340,0.2864840389404573,post_hoc_only
1,RIM_ONE_r3->Drishti_GS,stable,2,22364,20955,72171,0.9369969593990342,0.2903520804755373,436,6852,0.06363105662580268,20519,65319,0.3141352439565823,post_hoc_only
