run_name,checkpoint,checkpoint_name,method_name,site_id,site_index,routing_status,reason,records,pixels,has_historical_model,component_area_p10
fundus_seed0_lcrseg_v0_1_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_1_full200e/checkpoint_final_site0_REFUGE.pt,checkpoint_final_site0_REFUGE.pt,lcrseg_v0_1,REFUGE,0,analyzed,,160,1474560,False,"{""0"": 2.0, ""1"": 1.0, ""2"": 1.0}"
fundus_seed0_lcrseg_v0_1_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_1_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,lcrseg_v0_1,RIM_ONE_r3,1,analyzed,,63,580608,True,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0}"
fundus_seed0_lcrseg_v0_1_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_1_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,lcrseg_v0_1,Drishti_GS,2,analyzed,,41,377856,True,"{""0"": 1.5, ""1"": 1.0, ""2"": 12.900000000000038}"
fundus_seed0_lcrseg_uniform_relation_kd_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_uniform_relation_kd_full200e/checkpoint_final_site0_REFUGE.pt,checkpoint_final_site0_REFUGE.pt,lcrseg_v0_1,REFUGE,0,analyzed,,160,1474560,False,"{""0"": 2.0, ""1"": 1.0, ""2"": 1.0}"
fundus_seed0_lcrseg_uniform_relation_kd_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_uniform_relation_kd_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,lcrseg_v0_1,RIM_ONE_r3,1,analyzed,,63,580608,True,"{""0"": 1.0, ""1"": 1.0, ""2"": 65.80000000000005}"
fundus_seed0_lcrseg_uniform_relation_kd_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_uniform_relation_kd_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,lcrseg_v0_1,Drishti_GS,2,analyzed,,41,377856,True,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0}"
fundus_seed0_lcrseg_no_learnability_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_no_learnability_full200e/checkpoint_final_site0_REFUGE.pt,checkpoint_final_site0_REFUGE.pt,lcrseg_v0_1,REFUGE,0,analyzed,,160,1474560,False,"{""0"": 125897.0, ""1"": 14.0, ""2"": 730.3000000000005}"
fundus_seed0_lcrseg_no_learnability_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_no_learnability_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,lcrseg_v0_1,RIM_ONE_r3,1,analyzed,,63,580608,True,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.5}"
fundus_seed0_lcrseg_no_learnability_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_no_learnability_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,lcrseg_v0_1,Drishti_GS,2,analyzed,,41,377856,True,"{""0"": 1.0, ""1"": 23.80000000000001, ""2"": 1.0}"
fundus_seed0_sequential_ssl_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_sequential_ssl_full200e/checkpoint_final_site0_REFUGE.pt,checkpoint_final_site0_REFUGE.pt,sequential_ssl,REFUGE,0,not_applicable_no_lcr_relation_state,baseline checkpoint has no LCR semantic-anchor or old-relation state,,,,
fundus_seed0_sequential_ssl_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_sequential_ssl_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,sequential_ssl,RIM_ONE_r3,1,not_applicable_no_lcr_relation_state,baseline checkpoint has no LCR semantic-anchor or old-relation state,,,,
fundus_seed0_sequential_ssl_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_sequential_ssl_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,sequential_ssl,Drishti_GS,2,not_applicable_no_lcr_relation_state,baseline checkpoint has no LCR semantic-anchor or old-relation state,,,,
