variant,site_id,site_step,global_step,gradient_cosine_assim_relation
R1,RIM_ONE_r3,1,8001,0.8530635833740234
R1,RIM_ONE_r3,501,8501,-0.04417360574007034
R1,RIM_ONE_r3,1001,9001,0.008997243829071522
R1,RIM_ONE_r3,1501,9501,0.019582388922572136
R1,RIM_ONE_r3,2001,10001,-0.1748242974281311
R1,RIM_ONE_r3,2501,10501,0.16609938442707062
R1,RIM_ONE_r3,3001,11001,0.20283514261245728
R1,Drishti_GS,301,11501,-0.3714179992675781
R1,Drishti_GS,801,12001,-0.17575010657310486
R1,Drishti_GS,1301,12501,0.32925477623939514
R1,Drishti_GS,1801,13001,0.08720241487026215
R2,RIM_ONE_r3,1,8001,0.5517933964729309
R2,RIM_ONE_r3,501,8501,0.32754379510879517
R2,RIM_ONE_r3,1001,9001,0.14327917993068695
R2,RIM_ONE_r3,1501,9501,0.009636545553803444
R2,RIM_ONE_r3,2001,10001,-0.15149825811386108
R2,RIM_ONE_r3,2501,10501,-0.19301216304302216
R2,RIM_ONE_r3,3001,11001,0.03505616635084152
R2,Drishti_GS,301,11501,0.19517897069454193
R2,Drishti_GS,801,12001,0.27755600214004517
R2,Drishti_GS,1301,12501,0.24699856340885162
R2,Drishti_GS,1801,13001,0.2797340750694275
R3,RIM_ONE_r3,1,8001,0.7802209854125977
R3,RIM_ONE_r3,501,8501,-0.3604389429092407
R3,RIM_ONE_r3,1001,9001,-0.1693607121706009
R3,RIM_ONE_r3,1501,9501,0.015331764705479145
R3,RIM_ONE_r3,2001,10001,0.06627019494771957
R3,RIM_ONE_r3,2501,10501,0.02185896411538124
R3,RIM_ONE_r3,3001,11001,-0.2876684069633484
R3,Drishti_GS,301,11501,0.17574168741703033
R3,Drishti_GS,801,12001,-0.5486246943473816
R3,Drishti_GS,1301,12501,0.16858059167861938
R3,Drishti_GS,1801,13001,0.2701209783554077
