variant,run_dir,trained_site,trained_site_index,evaluation_site,site,patients,asd_class_1,asd_class_2,dice_class_1,dice_class_2,hd95_class_1,hd95_class_2,mean_foreground_asd,mean_foreground_dice,mean_foreground_hd95
R0,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_uniform_relation_kd_full200e,REFUGE,0,REFUGE,REFUGE,100,2.594985261193793,1.4328205627690733,0.8292733530487055,0.8260194074026215,13.775572353283632,10.418548610237275,2.013902911981434,0.8276463802256635,12.097060481760456
R0,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_uniform_relation_kd_full200e,REFUGE,0,RIM_ONE_r3,RIM_ONE_r3,40,9.760423399601134,5.548754546321089,0.5626345839250776,0.6362120849944092,43.968458752044526,23.105475319593086,7.65458897296111,0.5994233344597434,33.536967035818805
R0,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_uniform_relation_kd_full200e,REFUGE,0,Drishti_GS,Drishti_GS,25,19.163591154197537,11.790349462168837,0.38843511785083173,0.5585200781683991,71.28492682709893,42.38714933545648,15.476970308183189,0.4734775980096155,56.8360380812777
R0,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_uniform_relation_kd_full200e,RIM_ONE_r3,1,REFUGE,REFUGE,100,2.9875041305782837,2.000859128647167,0.6839345448092202,0.7449025819573126,15.306247186510559,10.716098747654314,2.4941816296127257,0.7144185633832663,13.011172967082437
R0,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_uniform_relation_kd_full200e,RIM_ONE_r3,1,RIM_ONE_r3,RIM_ONE_r3,40,5.073656940842152,4.007097174419824,0.7311544150089591,0.7142394709839872,21.45698729665312,15.01696240953431,4.540377057630988,0.7226969429964731,18.236974853093717
R0,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_uniform_relation_kd_full200e,RIM_ONE_r3,1,Drishti_GS,Drishti_GS,25,13.347940009175009,13.105983318635683,0.36313493596776825,0.3870502937134954,45.96812618287766,39.89309231785151,13.226961663905344,0.37509261484063183,42.930609250364576
R0,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_uniform_relation_kd_full200e,Drishti_GS,2,REFUGE,REFUGE,100,6.947536270593252,3.761804893525305,0.6507667854024554,0.7090395872563,29.331594249816188,16.97292924968272,5.3546705820592795,0.6799031863293779,23.152261749749456
R0,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_uniform_relation_kd_full200e,Drishti_GS,2,RIM_ONE_r3,RIM_ONE_r3,40,9.580529960741663,5.463593862667475,0.6165362795785765,0.6504955526078386,33.19057244553043,22.907523644278392,7.522061911704569,0.6335159160932075,28.049048044904406
R0,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_uniform_relation_kd_full200e,Drishti_GS,2,Drishti_GS,Drishti_GS,25,7.815450342524007,4.086422014823934,0.5978616571781029,0.7059328580460539,34.78714135719224,18.17022724122371,5.869005435413975,0.6518972576120784,26.195252034625895
R1,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r1_progressive_uniform_full200e,REFUGE,0,REFUGE,REFUGE,100,2.2174229212027727,1.2529316149570406,0.835011442362265,0.8284503525915399,13.156305660642586,8.684918638510073,1.7351772680799065,0.8317308974769024,10.92061214957633
R1,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r1_progressive_uniform_full200e,REFUGE,0,RIM_ONE_r3,RIM_ONE_r3,40,14.724275727655506,6.69061711156327,0.5325250510956728,0.6353392517782803,58.089744236820124,21.84987138350262,10.70744641960939,0.5839321514369765,39.96980781016138
R1,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r1_progressive_uniform_full200e,REFUGE,0,Drishti_GS,Drishti_GS,25,23.974197874984817,17.65335050601304,0.3531600816622704,0.5390710030542906,89.28216431476967,45.83772393443152,20.81377419049893,0.44611554235828055,67.55994412460059
R1,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r1_progressive_uniform_full200e,RIM_ONE_r3,1,REFUGE,REFUGE,100,3.419931290465271,1.9965236309257894,0.6966392623749738,0.7521874169743493,17.979448318528604,11.006377111874064,2.7082274606955297,0.7244133396746618,14.492912715201333
R1,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r1_progressive_uniform_full200e,RIM_ONE_r3,1,RIM_ONE_r3,RIM_ONE_r3,40,4.422457176063606,3.3428385641246514,0.7460676823633456,0.7026625073193049,18.8406725280138,13.252871317479736,3.8826478700941296,0.7243650948413253,16.046771922746768
R1,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r1_progressive_uniform_full200e,RIM_ONE_r3,1,Drishti_GS,Drishti_GS,25,14.415847987528133,13.124179210219705,0.366735061682834,0.42184865079815687,51.04723009085099,46.9417667772539,13.77001359887392,0.3942918562404953,48.994498434052446
R1,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r1_progressive_uniform_full200e,Drishti_GS,2,REFUGE,REFUGE,100,13.348024379975309,2.4842536175333843,0.6630071767981671,0.7336758142835156,60.25916359790014,12.918775066951634,7.916138998754346,0.6983414955408414,36.58896933242589
