variant,site,class_id,score_kind,bin,bin_left,bin_right,pixel_count,score_mean,empirical_old_correctness,rejected_fraction,brier,ece,hidden_gt_scope
R1,RIM_ONE_r3,0,raw_teacher_validity,0,0.0,0.05,0,,,,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,raw_teacher_validity,1,0.05,0.1,0,,,,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,raw_teacher_validity,2,0.1,0.15000000000000002,0,,,,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,raw_teacher_validity,3,0.15000000000000002,0.2,4,0.17769774794578552,1.0,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,raw_teacher_validity,4,0.2,0.25,3,0.21462683379650116,0.0,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,raw_teacher_validity,5,0.25,0.30000000000000004,8,0.2782174050807953,0.875,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,raw_teacher_validity,6,0.30000000000000004,0.35000000000000003,7,0.33243364095687866,0.7142857142857143,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,raw_teacher_validity,7,0.35000000000000003,0.4,18,0.37947213649749756,0.5,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,raw_teacher_validity,8,0.4,0.45,42,0.4257936477661133,0.5714285714285714,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,raw_teacher_validity,9,0.45,0.5,58,0.47925668954849243,0.5517241379310345,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,raw_teacher_validity,10,0.5,0.55,125,0.5258588194847107,0.568,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,raw_teacher_validity,11,0.55,0.6000000000000001,293,0.580077588558197,0.7372013651877133,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,raw_teacher_validity,12,0.6000000000000001,0.65,1111,0.6289726495742798,0.774977497749775,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,raw_teacher_validity,13,0.65,0.7000000000000001,1747,0.6759836077690125,0.7859187178019462,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,raw_teacher_validity,14,0.7000000000000001,0.75,1796,0.7245169878005981,0.7861915367483296,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,raw_teacher_validity,15,0.75,0.8,1960,0.7763445973396301,0.8010204081632653,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,raw_teacher_validity,16,0.8,0.8500000000000001,2588,0.8265818357467651,0.7925038639876353,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,raw_teacher_validity,17,0.8500000000000001,0.9,4014,0.8771648406982422,0.8263577478824116,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,raw_teacher_validity,18,0.9,0.9500000000000001,5933,0.9255527853965759,0.8697117815607618,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,raw_teacher_validity,19,0.9500000000000001,1.0,485178,0.9984241724014282,0.9868275148502199,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,calibrated_teacher_validity,0,0.0,0.05,0,,,,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,calibrated_teacher_validity,1,0.05,0.1,0,,,,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,calibrated_teacher_validity,2,0.1,0.15000000000000002,0,,,,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,calibrated_teacher_validity,3,0.15000000000000002,0.2,4,0.17769774794578552,1.0,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,calibrated_teacher_validity,4,0.2,0.25,3,0.21462683379650116,0.0,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,calibrated_teacher_validity,5,0.25,0.30000000000000004,8,0.2782174050807953,0.875,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,calibrated_teacher_validity,6,0.30000000000000004,0.35000000000000003,7,0.33243364095687866,0.7142857142857143,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,calibrated_teacher_validity,7,0.35000000000000003,0.4,18,0.37947213649749756,0.5,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,calibrated_teacher_validity,8,0.4,0.45,42,0.4257936477661133,0.5714285714285714,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,calibrated_teacher_validity,9,0.45,0.5,58,0.47925668954849243,0.5517241379310345,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,calibrated_teacher_validity,10,0.5,0.55,125,0.5258588194847107,0.568,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,calibrated_teacher_validity,11,0.55,0.6000000000000001,293,0.580077588558197,0.7372013651877133,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,calibrated_teacher_validity,12,0.6000000000000001,0.65,1111,0.6289726495742798,0.774977497749775,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,calibrated_teacher_validity,13,0.65,0.7000000000000001,1747,0.6759836077690125,0.7859187178019462,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,calibrated_teacher_validity,14,0.7000000000000001,0.75,1796,0.7245169878005981,0.7861915367483296,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,calibrated_teacher_validity,15,0.75,0.8,1960,0.7763445973396301,0.8010204081632653,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,calibrated_teacher_validity,16,0.8,0.8500000000000001,2588,0.8265818357467651,0.7925038639876353,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,calibrated_teacher_validity,17,0.8500000000000001,0.9,4014,0.8771648406982422,0.8263577478824116,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,calibrated_teacher_validity,18,0.9,0.9500000000000001,5933,0.9255527853965759,0.8697117815607618,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,0,calibrated_teacher_validity,19,0.9500000000000001,1.0,485178,0.9984241724014282,0.9868275148502199,0.0,0.01845199716999108,0.013544581174981514,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,raw_teacher_validity,0,0.0,0.05,0,,,,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,raw_teacher_validity,1,0.05,0.1,1,0.08070332556962967,0.0,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,raw_teacher_validity,2,0.1,0.15000000000000002,1,0.12270881980657578,1.0,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,raw_teacher_validity,3,0.15000000000000002,0.2,5,0.17745742201805115,0.6,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,raw_teacher_validity,4,0.2,0.25,11,0.22932443022727966,0.6363636363636364,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,raw_teacher_validity,5,0.25,0.30000000000000004,16,0.2716553807258606,0.6875,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,raw_teacher_validity,6,0.30000000000000004,0.35000000000000003,20,0.3316730260848999,0.6,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,raw_teacher_validity,7,0.35000000000000003,0.4,26,0.37467554211616516,0.5,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,raw_teacher_validity,8,0.4,0.45,34,0.4317350387573242,0.5882352941176471,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,raw_teacher_validity,9,0.45,0.5,70,0.47557199001312256,0.5285714285714286,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,raw_teacher_validity,10,0.5,0.55,198,0.5285600423812866,0.3838383838383838,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,raw_teacher_validity,11,0.55,0.6000000000000001,518,0.580047070980072,0.33783783783783783,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,raw_teacher_validity,12,0.6000000000000001,0.65,1648,0.6276479959487915,0.32160194174757284,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,raw_teacher_validity,13,0.65,0.7000000000000001,2348,0.6758412718772888,0.27001703577512776,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,raw_teacher_validity,14,0.7000000000000001,0.75,2561,0.7251265645027161,0.2745021475985943,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,raw_teacher_validity,15,0.75,0.8,2667,0.7757960557937622,0.2995875515560555,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,raw_teacher_validity,16,0.8,0.8500000000000001,3400,0.8261300921440125,0.31441176470588234,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,raw_teacher_validity,17,0.8500000000000001,0.9,4746,0.8767077326774597,0.3339654445849136,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,raw_teacher_validity,18,0.9,0.9500000000000001,5395,0.9248024225234985,0.37015755329008343,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,raw_teacher_validity,19,0.9500000000000001,1.0,28373,0.9885114431381226,0.47058823529411764,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,calibrated_teacher_validity,0,0.0,0.05,0,,,,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,calibrated_teacher_validity,1,0.05,0.1,1,0.08070332556962967,0.0,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,calibrated_teacher_validity,2,0.1,0.15000000000000002,1,0.12270881980657578,1.0,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,calibrated_teacher_validity,3,0.15000000000000002,0.2,5,0.17745742201805115,0.6,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,calibrated_teacher_validity,4,0.2,0.25,11,0.22932443022727966,0.6363636363636364,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,calibrated_teacher_validity,5,0.25,0.30000000000000004,16,0.2716553807258606,0.6875,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,calibrated_teacher_validity,6,0.30000000000000004,0.35000000000000003,20,0.3316730260848999,0.6,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,calibrated_teacher_validity,7,0.35000000000000003,0.4,26,0.37467554211616516,0.5,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,calibrated_teacher_validity,8,0.4,0.45,34,0.4317350387573242,0.5882352941176471,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,calibrated_teacher_validity,9,0.45,0.5,70,0.47557199001312256,0.5285714285714286,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,calibrated_teacher_validity,10,0.5,0.55,198,0.5285600423812866,0.3838383838383838,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,calibrated_teacher_validity,11,0.55,0.6000000000000001,518,0.580047070980072,0.33783783783783783,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,calibrated_teacher_validity,12,0.6000000000000001,0.65,1648,0.6276479959487915,0.32160194174757284,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,calibrated_teacher_validity,13,0.65,0.7000000000000001,2348,0.6758412718772888,0.27001703577512776,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,calibrated_teacher_validity,14,0.7000000000000001,0.75,2561,0.7251265645027161,0.2745021475985943,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,calibrated_teacher_validity,15,0.75,0.8,2667,0.7757960557937622,0.2995875515560555,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,calibrated_teacher_validity,16,0.8,0.8500000000000001,3400,0.8261300921440125,0.31441176470588234,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,calibrated_teacher_validity,17,0.8500000000000001,0.9,4746,0.8767077326774597,0.3339654445849136,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,calibrated_teacher_validity,18,0.9,0.9500000000000001,5395,0.9248024225234985,0.37015755329008343,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,calibrated_teacher_validity,19,0.9500000000000001,1.0,28373,0.9885114431381226,0.47058823529411764,0.0,0.4891555393454377,0.5009868700359226,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,raw_teacher_validity,0,0.0,0.05,0,,,,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,raw_teacher_validity,1,0.05,0.1,0,,,,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,raw_teacher_validity,2,0.1,0.15000000000000002,2,0.12107296288013458,0.0,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,raw_teacher_validity,3,0.15000000000000002,0.2,2,0.18251529335975647,0.0,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,raw_teacher_validity,4,0.2,0.25,4,0.224835604429245,0.25,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,raw_teacher_validity,5,0.25,0.30000000000000004,7,0.2683842182159424,0.14285714285714285,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,raw_teacher_validity,6,0.30000000000000004,0.35000000000000003,15,0.32777634263038635,0.26666666666666666,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,raw_teacher_validity,7,0.35000000000000003,0.4,25,0.37585970759391785,0.2,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,raw_teacher_validity,8,0.4,0.45,38,0.4281388819217682,0.21052631578947367,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,raw_teacher_validity,9,0.45,0.5,42,0.4815221130847931,0.23809523809523808,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,raw_teacher_validity,10,0.5,0.55,91,0.5282596349716187,0.17582417582417584,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,raw_teacher_validity,11,0.55,0.6000000000000001,207,0.5785137414932251,0.15942028985507245,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,raw_teacher_validity,12,0.6000000000000001,0.65,442,0.6257625222206116,0.18099547511312217,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,raw_teacher_validity,13,0.65,0.7000000000000001,548,0.6762760877609253,0.21350364963503649,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,raw_teacher_validity,14,0.7000000000000001,0.75,575,0.7240320444107056,0.26260869565217393,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,raw_teacher_validity,15,0.75,0.8,654,0.7758314609527588,0.23394495412844038,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,raw_teacher_validity,16,0.8,0.8500000000000001,893,0.8275309205055237,0.25867861142217247,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,raw_teacher_validity,17,0.8500000000000001,0.9,1420,0.877217710018158,0.2704225352112676,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,raw_teacher_validity,18,0.9,0.9500000000000001,1564,0.9249906539916992,0.3177749360613811,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,raw_teacher_validity,19,0.9500000000000001,1.0,17156,0.993482232093811,0.6263114945208673,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,calibrated_teacher_validity,0,0.0,0.05,0,,,,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,calibrated_teacher_validity,1,0.05,0.1,0,,,,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,calibrated_teacher_validity,2,0.1,0.15000000000000002,2,0.12107296288013458,0.0,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,calibrated_teacher_validity,3,0.15000000000000002,0.2,2,0.18251529335975647,0.0,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,calibrated_teacher_validity,4,0.2,0.25,4,0.224835604429245,0.25,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,calibrated_teacher_validity,5,0.25,0.30000000000000004,7,0.2683842182159424,0.14285714285714285,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,calibrated_teacher_validity,6,0.30000000000000004,0.35000000000000003,15,0.32777634263038635,0.26666666666666666,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,calibrated_teacher_validity,7,0.35000000000000003,0.4,25,0.37585970759391785,0.2,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,calibrated_teacher_validity,8,0.4,0.45,38,0.4281388819217682,0.21052631578947367,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,calibrated_teacher_validity,9,0.45,0.5,42,0.4815221130847931,0.23809523809523808,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,calibrated_teacher_validity,10,0.5,0.55,91,0.5282596349716187,0.17582417582417584,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,calibrated_teacher_validity,11,0.55,0.6000000000000001,207,0.5785137414932251,0.15942028985507245,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,calibrated_teacher_validity,12,0.6000000000000001,0.65,442,0.6257625222206116,0.18099547511312217,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,calibrated_teacher_validity,13,0.65,0.7000000000000001,548,0.6762760877609253,0.21350364963503649,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,calibrated_teacher_validity,14,0.7000000000000001,0.75,575,0.7240320444107056,0.26260869565217393,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,calibrated_teacher_validity,15,0.75,0.8,654,0.7758314609527588,0.23394495412844038,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,calibrated_teacher_validity,16,0.8,0.8500000000000001,893,0.8275309205055237,0.25867861142217247,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,calibrated_teacher_validity,17,0.8500000000000001,0.9,1420,0.877217710018158,0.2704225352112676,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,calibrated_teacher_validity,18,0.9,0.9500000000000001,1564,0.9249906539916992,0.3177749360613811,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,RIM_ONE_r3,2,calibrated_teacher_validity,19,0.9500000000000001,1.0,17156,0.993482232093811,0.6263114945208673,0.0,0.4004337957771641,0.4151410676707239,post_hoc_diagnostics_only
R1,Drishti_GS,0,raw_teacher_validity,0,0.0,0.05,0,,,,0.05938782664954957,0.06013086583659069,post_hoc_diagnostics_only
R1,Drishti_GS,0,raw_teacher_validity,1,0.05,0.1,0,,,,0.05938782664954957,0.06013086583659069,post_hoc_diagnostics_only
R1,Drishti_GS,0,raw_teacher_validity,2,0.1,0.15000000000000002,0,,,,0.05938782664954957,0.06013086583659069,post_hoc_diagnostics_only
R1,Drishti_GS,0,raw_teacher_validity,3,0.15000000000000002,0.2,3,0.1808159500360489,0.0,0.0,0.05938782664954957,0.06013086583659069,post_hoc_diagnostics_only
R1,Drishti_GS,0,raw_teacher_validity,4,0.2,0.25,5,0.22042842209339142,0.0,0.0,0.05938782664954957,0.06013086583659069,post_hoc_diagnostics_only
R1,Drishti_GS,0,raw_teacher_validity,5,0.25,0.30000000000000004,4,0.26628243923187256,0.0,0.0,0.05938782664954957,0.06013086583659069,post_hoc_diagnostics_only
R1,Drishti_GS,0,raw_teacher_validity,6,0.30000000000000004,0.35000000000000003,10,0.3285544216632843,0.0,0.0,0.05938782664954957,0.06013086583659069,post_hoc_diagnostics_only
R1,Drishti_GS,0,raw_teacher_validity,7,0.35000000000000003,0.4,6,0.3743037283420563,0.0,0.0,0.05938782664954957,0.06013086583659069,post_hoc_diagnostics_only
R1,Drishti_GS,0,raw_teacher_validity,8,0.4,0.45,12,0.43212756514549255,0.0,0.0,0.05938782664954957,0.06013086583659069,post_hoc_diagnostics_only
R1,Drishti_GS,0,raw_teacher_validity,9,0.45,0.5,19,0.4830887019634247,0.05263157894736842,0.0,0.05938782664954957,0.06013086583659069,post_hoc_diagnostics_only
R1,Drishti_GS,0,raw_teacher_validity,10,0.5,0.55,42,0.5287330150604248,0.047619047619047616,0.0,0.05938782664954957,0.06013086583659069,post_hoc_diagnostics_only
R1,Drishti_GS,0,raw_teacher_validity,11,0.55,0.6000000000000001,84,0.5770522356033325,0.10714285714285714,0.0,0.05938782664954957,0.06013086583659069,post_hoc_diagnostics_only
R1,Drishti_GS,0,raw_teacher_validity,12,0.6000000000000001,0.65,259,0.6289900541305542,0.11583011583011583,0.0,0.05938782664954957,0.06013086583659069,post_hoc_diagnostics_only
R1,Drishti_GS,0,raw_teacher_validity,13,0.65,0.7000000000000001,508,0.6781162619590759,0.22244094488188976,0.0,0.05938782664954957,0.06013086583659069,post_hoc_diagnostics_only
