seed,evaluation_site,class_id,class_name,R0_final_dice,R1_final_dice,delta_R1_minus_R0
0,Drishti_GS,1,optic_disc_rim,0.5978616571781029,0.625996556424185,0.028134899246082035
0,Drishti_GS,2,optic_cup,0.7059328580460539,0.6968737418645865,-0.009059116181467375
0,REFUGE,1,optic_disc_rim,0.6507667854024554,0.6630071767981671,0.012240391395711758
0,REFUGE,2,optic_cup,0.7090395872563,0.7336758142835156,0.024636227027215574
0,RIM_ONE_r3,1,optic_disc_rim,0.6165362795785765,0.6125199897058119,-0.004016289872764589
0,RIM_ONE_r3,2,optic_cup,0.6504955526078386,0.6378215460203231,-0.012674006587515496
1,Drishti_GS,1,optic_disc_rim,0.6444523497402881,0.7390734579559239,0.09462110821563585
1,Drishti_GS,2,optic_cup,0.7995296239424502,0.8045757287776685,0.005046104835218279
1,REFUGE,1,optic_disc_rim,0.7573932432461464,0.7272940671478686,-0.030099176098277836
1,REFUGE,2,optic_cup,0.7299770593445187,0.6893981174505238,-0.04057894189399491
1,RIM_ONE_r3,1,optic_disc_rim,0.5547807871996792,0.5360602590585541,-0.018720528141125015
1,RIM_ONE_r3,2,optic_cup,0.558157533902721,0.5542226574038404,-0.003934876498880691
2,Drishti_GS,1,optic_disc_rim,0.74109997665532,0.7345655888573394,-0.006534387797980656
2,Drishti_GS,2,optic_cup,0.8149369702155059,0.798908945160661,-0.016028025054844908
2,REFUGE,1,optic_disc_rim,0.7820662218555137,0.7238496773293214,-0.05821654452619229
2,REFUGE,2,optic_cup,0.7484021541973214,0.743960728468166,-0.004441425729155402
2,RIM_ONE_r3,1,optic_disc_rim,0.5847939843725821,0.5898975587286859,0.005103574356103757
2,RIM_ONE_r3,2,optic_cup,0.6308578592682893,0.6255479824856066,-0.005309876782682688
