seed,variant,trained_through_site,trained_through_site_index,evaluation_site,class,region,state,count,correct_count,pseudo_label_accuracy,precision,correct_candidate_recall,coverage_within_candidate,patient_coverage,image_coverage,boundary_distance_mean,boundary_distance_q25,boundary_distance_q50,boundary_distance_q75,component_size_mean,component_size_q50,learnability_mean,logit_margin_mean,anchor_margin_mean,spatial_consistency_mean
0,R0,REFUGE,0,Drishti_GS,1,all,candidate,28889,13517,0.46789435425248366,0.46789435425248366,1.0,1.0,1.0,1.0,-13.897756755209658,-19.918582916259766,-1.6625703573226929,8.760709762573242,7086.408806119976,0.0,0.5813002667661157,5.717578983728248,0.9274187684038511,0.9582028668379626
0,R0,REFUGE,0,Drishti_GS,1,all,admitted,28889,13517,0.46789435425248366,0.46789435425248366,1.0,1.0,1.0,1.0,-13.897756755209658,-19.918582916259766,-1.6625703573226929,8.760709762573242,7086.408806119976,0.0,0.5813002667661157,5.717578983728248,0.9274187684038511,0.9582028668379626
0,R0,REFUGE,0,Drishti_GS,1,all,deferred,0,0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,R0,REFUGE,0,Drishti_GS,1,boundary,candidate,3682,1960,0.532319391634981,0.532319391634981,1.0,1.0,1.0,1.0,0.12859892026035116,-1.6625703573226929,0.0,2.1196770668029785,7513.738185768604,8454.0,0.5792249447156689,5.918799254373485,0.9335244042532784,0.9477884689065699
0,R0,REFUGE,0,Drishti_GS,1,boundary,admitted,3682,1960,0.532319391634981,0.532319391634981,1.0,1.0,1.0,1.0,0.12859892026035116,-1.6625703573226929,0.0,2.1196770668029785,7513.738185768604,8454.0,0.5792249447156689,5.918799254373485,0.9335244042532784,0.9477884689065699
0,R0,REFUGE,0,Drishti_GS,1,boundary,deferred,0,0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,R0,REFUGE,0,Drishti_GS,1,interior,candidate,11557,11557,1.0,1.0,1.0,1.0,1.0,1.0,11.494918528277331,6.964908599853516,10.618403434753418,14.991666793823242,15320.038072164056,15620.0,0.6198764539297074,6.39931011133678,0.9535889927853224,0.9723553442208218
0,R0,REFUGE,0,Drishti_GS,1,interior,admitted,11557,11557,1.0,1.0,1.0,1.0,1.0,1.0,11.494918528277331,6.964908599853516,10.618403434753418,14.991666793823242,15320.038072164056,15620.0,0.6198764539297074,6.39931011133678,0.9535889927853224,0.9723553442208218
0,R0,REFUGE,0,Drishti_GS,1,interior,deferred,0,0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,R0,REFUGE,0,Drishti_GS,1,exterior_near_boundary,candidate,1577,359,0.22764743183259353,0.22764743183259353,1.0,1.0,1.0,1.0,-1.8577485391439028,-2.5,-1.6625703573226929,-1.5,3140.9181991122387,0.0,0.5746507170665053,5.847403660662279,0.9300780059721323,0.9459503427780952
