axial_continuity,body_overlap,boundary_contact,case_id,component_count,error,index_metrics,index_qc_pass,index_score,normalized_centroid_distance,physical_metrics,physical_qc_pass,physical_score,preferred_candidate,qc_status,reviewer,rule_triggered,selected_decision,volume_retention
1.0,1.0,0.0,BMC_Case07,2,,"{""axial_continuity"": 1.0, ""body_support_overlap"": 1.0, ""boundary_contact"": 0.0, ""candidate_available"": true, ""component_count"": 2, ""foreground_in_fov"": true, ""foreground_nonempty"": true, ""normalized_centroid_distance"": 0.01114925, ""qc_pass"": true, ""score"": 8.96884974, ""volume_retention"": 0.99999899}",True,8.96884974,0.01114925,"{""axial_continuity"": 1.0, ""body_support_overlap"": 1.0, ""boundary_contact"": 0.0, ""candidate_available"": true, ""component_count"": 2, ""foreground_in_fov"": true, ""foreground_nonempty"": true, ""normalized_centroid_distance"": 0.01114925, ""qc_pass"": true, ""score"": 8.96884974, ""volume_retention"": 0.99999899}",True,8.96884974,index_geometry_repair,pass,auto_rule_v1,preferred_index_geometry_repair_passed,index_geometry_repair,0.99999899
1.0,1.0,0.01775974,RUNMC_Case00,1,,"{""axial_continuity"": 1.0, ""body_support_overlap"": 1.0, ""boundary_contact"": 0.01775974, ""candidate_available"": true, ""component_count"": 1, ""foreground_in_fov"": true, ""foreground_nonempty"": true, ""normalized_centroid_distance"": 0.02891837, ""qc_pass"": true, ""score"": 8.94332081, ""volume_retention"": 1.00000107}",True,8.94332081,0.02891837,"{""axial_continuity"": 1.0, ""body_support_overlap"": 1.0, ""boundary_contact"": 0.02503334, ""candidate_available"": true, ""component_count"": 1, ""foreground_in_fov"": true, ""foreground_nonempty"": true, ""normalized_centroid_distance"": 0.03002146, ""qc_pass"": true, ""score"": 8.91718652, ""volume_retention"": 0.98224131}",True,8.91718652,index_geometry_repair,pass,auto_rule_v1,preferred_index_geometry_repair_passed,index_geometry_repair,1.00000107
1.0,1.0,0.0,RUNMC_Case01,1,,"{""axial_continuity"": 1.0, ""body_support_overlap"": 1.0, ""boundary_contact"": 0.0, ""candidate_available"": true, ""component_count"": 1, ""foreground_in_fov"": true, ""foreground_nonempty"": true, ""normalized_centroid_distance"": 0.02207376, ""qc_pass"": true, ""score"": 8.96792624, ""volume_retention"": 1.0}",True,8.96792624,0.02207376,"{""axial_continuity"": 1.0, ""body_support_overlap"": 0.99998665, ""boundary_contact"": 0.0, ""candidate_available"": true, ""component_count"": 1, ""foreground_in_fov"": true, ""foreground_nonempty"": true, ""normalized_centroid_distance"": 0.02106478, ""qc_pass"": true, ""score"": 8.96892187, ""volume_retention"": 1.0}",True,8.96892187,index_geometry_repair,pass,auto_rule_v1,preferred_index_geometry_repair_passed,index_geometry_repair,1.0
1.0,1.0,0.0,RUNMC_Case02,1,,"{""axial_continuity"": 1.0, ""body_support_overlap"": 1.0, ""boundary_contact"": 0.0, ""candidate_available"": true, ""component_count"": 1, ""foreground_in_fov"": true, ""foreground_nonempty"": true, ""normalized_centroid_distance"": 0.0499926, ""qc_pass"": true, ""score"": 8.9400074, ""volume_retention"": 1.0}",True,8.9400074,0.0499926,"{""axial_continuity"": 1.0, ""body_support_overlap"": 1.0, ""boundary_contact"": 0.0, ""candidate_available"": true, ""component_count"": 1, ""foreground_in_fov"": true, ""foreground_nonempty"": true, ""normalized_centroid_distance"": 0.05213699, ""qc_pass"": true, ""score"": 8.93786301, ""volume_retention"": 1.0}",True,8.93786301,index_geometry_repair,pass,auto_rule_v1,preferred_index_geometry_repair_passed,index_geometry_repair,1.0
1.0,0.99997585,0.0,RUNMC_Case03,1,,"{""axial_continuity"": 1.0, ""body_support_overlap"": 0.99997585, ""boundary_contact"": 0.0, ""candidate_available"": true, ""component_count"": 1, ""foreground_in_fov"": true, ""foreground_nonempty"": true, ""normalized_centroid_distance"": 0.03865749, ""qc_pass"": true, ""score"": 8.95131836, ""volume_retention"": 1.0}",True,8.95131836,0.03865749,"{""axial_continuity"": 1.0, ""body_support_overlap"": 0.99997585, ""boundary_contact"": 0.0, ""candidate_available"": true, ""component_count"": 1, ""foreground_in_fov"": true, ""foreground_nonempty"": true, ""normalized_centroid_distance"": 0.04101499, ""qc_pass"": true, ""score"": 8.94896086, ""volume_retention"": 1.0}",True,8.94896086,index_geometry_repair,pass,auto_rule_v1,preferred_index_geometry_repair_passed,index_geometry_repair,1.0
1.0,1.0,0.0,RUNMC_Case04,1,,"{""axial_continuity"": 1.0, ""body_support_overlap"": 1.0, ""boundary_contact"": 0.0, ""candidate_available"": true, ""component_count"": 1, ""foreground_in_fov"": true, ""foreground_nonempty"": true, ""normalized_centroid_distance"": 0.03658627, ""qc_pass"": true, ""score"": 8.95341366, ""volume_retention"": 1.00000007}",True,8.95341366,0.03658627,"{""axial_continuity"": 1.0, ""body_support_overlap"": 1.0, ""boundary_contact"": 0.0, ""candidate_available"": true, ""component_count"": 1, ""foreground_in_fov"": true, ""foreground_nonempty"": true, ""normalized_centroid_distance"": 0.03879843, ""qc_pass"": true, ""score"": 8.9512015, ""volume_retention"": 1.00000007}",True,8.9512015,index_geometry_repair,pass,auto_rule_v1,preferred_index_geometry_repair_passed,index_geometry_repair,1.00000007
1.0,1.0,0.0,RUNMC_Case05,1,,"{""axial_continuity"": 1.0, ""body_support_overlap"": 1.0, ""boundary_contact"": 0.0, ""candidate_available"": true, ""component_count"": 1, ""foreground_in_fov"": true, ""foreground_nonempty"": true, ""normalized_centroid_distance"": 0.015624, ""qc_pass"": true, ""score"": 8.974376, ""volume_retention"": 1.0}",True,8.974376,0.015624,"{""axial_continuity"": 1.0, ""body_support_overlap"": 1.0, ""boundary_contact"": 0.0, ""candidate_available"": true, ""component_count"": 1, ""foreground_in_fov"": true, ""foreground_nonempty"": true, ""normalized_centroid_distance"": 0.01331912, ""qc_pass"": true, ""score"": 8.97668088, ""volume_retention"": 1.0}",True,8.97668088,index_geometry_repair,pass,auto_rule_v1,preferred_index_geometry_repair_passed,index_geometry_repair,1.0
1.0,0.99994192,0.0,RUNMC_Case06,1,,"{""axial_continuity"": 1.0, ""body_support_overlap"": 0.99994192, ""boundary_contact"": 0.0, ""candidate_available"": true, ""component_count"": 1, ""foreground_in_fov"": true, ""foreground_nonempty"": true, ""normalized_centroid_distance"": 0.01250265, ""qc_pass"": true, ""score"": 8.97743927, ""volume_retention"": 1.0}",True,8.97743927,0.01250265,"{""axial_continuity"": 1.0, ""body_support_overlap"": 0.99994192, ""boundary_contact"": 0.0, ""candidate_available"": true, ""component_count"": 1, ""foreground_in_fov"": true, ""foreground_nonempty"": true, ""normalized_centroid_distance"": 0.01062111, ""qc_pass"": true, ""score"": 8.97932082, ""volume_retention"": 1.0}",True,8.97932082,index_geometry_repair,pass,auto_rule_v1,preferred_index_geometry_repair_passed,index_geometry_repair,1.0
1.0,1.0,0.0,RUNMC_Case07,1,,"{""axial_continuity"": 1.0, ""body_support_overlap"": 1.0, ""boundary_contact"": 0.0, ""candidate_available"": true, ""component_count"": 1, ""foreground_in_fov"": true, ""foreground_nonempty"": true, ""normalized_centroid_distance"": 0.01665932, ""qc_pass"": true, ""score"": 8.97334068, ""volume_retention"": 1.0}",True,8.97334068,0.01665932,"{""axial_continuity"": 1.0, ""body_support_overlap"": 1.0, ""boundary_contact"": 0.0, ""candidate_available"": true, ""component_count"": 1, ""foreground_in_fov"": true, ""foreground_nonempty"": true, ""normalized_centroid_distance"": 0.0153324, ""qc_pass"": true, ""score"": 8.9746676, ""volume_retention"": 1.0}",True,8.9746676,index_geometry_repair,pass,auto_rule_v1,preferred_index_geometry_repair_passed,index_geometry_repair,1.0
1.0,1.0,0.02171218,RUNMC_Case08,1,,"{""axial_continuity"": 1.0, ""body_support_overlap"": 1.0, ""boundary_contact"": 0.02171218, ""candidate_available"": true, ""component_count"": 1, ""foreground_in_fov"": true, ""foreground_nonempty"": true, ""normalized_centroid_distance"": 0.00994055, ""qc_pass"": true, ""score"": 8.95834727, ""volume_retention"": 1.0}",True,8.95834727,0.00994055,"{""axial_continuity"": 1.0, ""body_support_overlap"": 1.0, ""boundary_contact"": 0.02164837, ""candidate_available"": true, ""component_count"": 1, ""foreground_in_fov"": true, ""foreground_nonempty"": true, ""normalized_centroid_distance"": 0.00844615, ""qc_pass"": true, ""score"": 8.9544223, ""volume_retention"": 0.99451682}",True,8.9544223,index_geometry_repair,pass,auto_rule_v1,preferred_index_geometry_repair_passed,index_geometry_repair,1.0
