case_id,decision,reviewer,reason,timestamp,allowed_decisions
BMC_Case07,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case00,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case01,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case02,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case03,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case04,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case05,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case06,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case07,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case08,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case09,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case10,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case11,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case12,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case13,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case14,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case15,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case16,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case17,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case18,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case19,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case20,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case21,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case22,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case23,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case24,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case25,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case26,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case27,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case28,,,,,physical_resample|index_geometry_repair|reject
RUNMC_Case29,,,,,physical_resample|index_geometry_repair|reject
