case_id,site,unique_labels,voxels_label_1,voxels_label_2,components_label_1,components_label_2,centroid_distance_voxels,overlap_or_adjacency
BIDMC_Case00,BIDMC,"[0.0, 1.0]",155755,0,1,0,,False
BIDMC_Case02,BIDMC,"[0.0, 1.0]",98553,0,1,0,,False
BIDMC_Case03,BIDMC,"[0.0, 1.0]",82121,0,1,0,,False
BIDMC_Case04,BIDMC,"[0.0, 1.0]",119984,0,1,0,,False
BIDMC_Case05,BIDMC,"[0.0, 1.0]",202327,0,1,0,,False
BIDMC_Case06,BIDMC,"[0.0, 1.0]",286237,0,1,0,,False
BIDMC_Case07,BIDMC,"[0.0, 1.0]",104453,0,1,0,,False
BIDMC_Case08,BIDMC,"[0.0, 1.0]",62103,0,1,0,,False
BIDMC_Case09,BIDMC,"[0.0, 1.0]",201479,0,1,0,,False
BIDMC_Case10,BIDMC,"[0.0, 1.0]",90163,0,1,0,,False
BIDMC_Case11,BIDMC,"[0.0, 1.0]",129379,0,1,0,,False
BIDMC_Case12,BIDMC,"[0.0, 1.0]",125195,0,1,0,,False
BMC_Case00,BMC,"[0.0, 1.0, 2.0]",35247,24324,1,1,25.04124,True
BMC_Case01,BMC,"[0.0, 1.0, 2.0]",32136,26064,1,1,18.69135,True
BMC_Case02,BMC,"[0.0, 1.0, 2.0]",25504,52479,9,1,27.02432,True
BMC_Case03,BMC,"[0.0, 1.0, 2.0]",28581,28461,2,1,22.21903,True
BMC_Case04,BMC,"[0.0, 1.0, 2.0]",31938,31458,2,1,26.30519,True
BMC_Case05,BMC,"[0.0, 1.0, 2.0]",49096,137090,6,1,44.23533,True
BMC_Case06,BMC,"[0.0, 1.0, 2.0]",19478,18681,10,2,20.68481,True
BMC_Case07,BMC,"[0.0, 1.0, 2.0]",30768,30983,9,1,21.9871,True
BMC_Case08,BMC,"[0.0, 1.0, 2.0]",42991,21251,1,1,23.89315,True
BMC_Case09,BMC,"[0.0, 1.0, 2.0]",31930,22530,5,1,28.58202,True
BMC_Case10,BMC,"[0.0, 1.0, 2.0]",52009,61535,3,1,36.93599,True
BMC_Case11,BMC,"[0.0, 1.0, 2.0]",44574,61319,9,1,30.32655,True
BMC_Case12,BMC,"[0.0, 1.0, 2.0]",27852,34322,2,1,28.7165,True
BMC_Case13,BMC,"[0.0, 1.0, 2.0]",18259,18805,5,1,19.97937,True
BMC_Case14,BMC,"[0.0, 1.0, 2.0]",48652,25918,1,1,23.48154,True
BMC_Case15,BMC,"[0.0, 1.0, 2.0]",24454,24134,3,1,23.81813,True
BMC_Case16,BMC,"[0.0, 1.0, 2.0]",20795,17868,1,1,14.50551,True
BMC_Case17,BMC,"[0.0, 1.0, 2.0]",14121,156313,1,1,44.61664,True
BMC_Case18,BMC,"[0.0, 1.0, 2.0]",16928,30033,2,1,22.14935,True
BMC_Case19,BMC,"[0.0, 1.0, 2.0]",57545,65072,2,1,29.85308,True
BMC_Case20,BMC,"[0.0, 1.0, 2.0]",16932,42432,1,1,29.95764,True
BMC_Case21,BMC,"[0.0, 1.0, 2.0]",41078,155026,1,1,58.34949,True
BMC_Case22,BMC,"[0.0, 1.0, 2.0]",23831,65030,3,1,33.23798,True
BMC_Case23,BMC,"[0.0, 1.0, 2.0]",30700,24939,5,1,27.10735,True
BMC_Case24,BMC,"[0.0, 1.0, 2.0]",25787,42192,5,1,20.44402,True
BMC_Case25,BMC,"[0.0, 1.0, 2.0]",25007,18598,2,1,22.35877,True
BMC_Case26,BMC,"[0.0, 1.0, 2.0]",41523,87869,6,1,30.12194,True
