backbone,contrast,cup,disc_union,domain,macro,rim,seed
DINOV2_VITS14_QUERY,A1-A0,0.0004985648393631692,3.859519958493429e-05,Drishti_GS,0.0005963364243507518,0.0006941080093384455,261
DINOV2_VITS14_QUERY,A2-A0,0.00013655066490181333,9.825229644777611e-05,Drishti_GS,0.00033370435237889406,0.0005308580398559748,261
DINOV2_VITS14_QUERY,A3-A0,0.0006449574232102462,-0.00028180122375487393,Drishti_GS,0.00039159029722224403,0.00013822317123413086,261
DINOV2_VITS14_QUERY,A4-A0,0.0007811564207077515,-0.0002652406692504883,Drishti_GS,0.0005460795760154902,0.0003110027313233399,261
DINOV2_VITS14_QUERY,A2-A1,-0.00036201417446135586,5.965709686284182e-05,Drishti_GS,-0.0002626320719718578,-0.00016324996948247072,261
DINOV2_VITS14_QUERY,A3-A1,0.00014639258384707698,-0.0003203964233398082,Drishti_GS,-0.00020474612712850782,-0.0005558848381043147,261
DINOV2_VITS14_QUERY,A4-A1,0.0002825915813445823,-0.0003038358688354226,Drishti_GS,-5.025684833526167e-05,-0.00038310527801510563,261
DINOV2_VITS14_QUERY,A1-A0,-0.0016741432249546273,0.00033680200576780006,RIM_ONE_r3,-0.0006259348243474738,0.00042227357625967965,261
DINOV2_VITS14_QUERY,A2-A0,-0.0017753086984158006,0.0005080983042716758,RIM_ONE_r3,-0.0005580678582191023,0.000659172981977485,261
DINOV2_VITS14_QUERY,A3-A0,-0.002300861477851912,0.0001684427261352539,RIM_ONE_r3,-0.0008881192654370818,0.0005246229469776376,261
DINOV2_VITS14_QUERY,A4-A0,-0.0021311767399311288,0.0002501159906387329,RIM_ONE_r3,-0.0007796484977007356,0.0005718797445297685,261
DINOV2_VITS14_QUERY,A2-A1,-0.00010116547346117333,0.00017129629850387573,RIM_ONE_r3,6.786696612837151e-05,0.00023689940571780532,261
DINOV2_VITS14_QUERY,A3-A1,-0.0006267182528972848,-0.00016835927963254615,RIM_ONE_r3,-0.0002621844410896079,0.00010234937071795791,261
DINOV2_VITS14_QUERY,A4-A1,-0.00045703351497650146,-8.668601512906715e-05,RIM_ONE_r3,-0.0001537136733532618,0.00014960616827008888,261
UNET_QUERY_128,A1-A0,0.0008032464981079235,-0.007742068767547683,Drishti_GS,-0.010431137979030614,-0.02166552245616915,261
UNET_QUERY_128,A2-A0,0.000684782862663269,-0.007602818012237611,Drishti_GS,-0.00921509116888053,-0.019114965200424217,261
UNET_QUERY_128,A3-A0,-0.0007881826162338124,-0.00309547662734988,Drishti_GS,-0.002400542795658156,-0.004012902975082389,261
UNET_QUERY_128,A4-A0,-0.00021004557609549668,-0.0027836608886718794,Drishti_GS,-0.002535221576690727,-0.0048603975772857355,261
UNET_QUERY_128,A2-A1,-0.00011846363544465444,0.00013925075531007192,Drishti_GS,0.0012160468101500843,0.002550557255744934,261
UNET_QUERY_128,A3-A1,-0.0015914291143417358,0.004646592140197803,Drishti_GS,0.008030595183372458,0.017652619481086762,261
UNET_QUERY_128,A4-A1,-0.0010132920742034202,0.0049584078788758035,Drishti_GS,0.007895916402339886,0.016805124878883415,261
UNET_QUERY_128,A1-A0,-0.004917098581790902,-0.005156871676445074,RIM_ONE_r3,-0.0030354631133376886,-0.0011538276448845863,261
UNET_QUERY_128,A2-A0,-0.001654815301299073,-0.004027528315782569,RIM_ONE_r3,-0.001798840146511771,-0.001942864991724469,261
UNET_QUERY_128,A3-A0,0.0020720863714814852,-0.0037243686616420524,RIM_ONE_r3,0.0009643246419728246,-0.00014343708753583595,261
UNET_QUERY_128,A4-A0,-0.0007277896627783109,-0.0022443473339081033,RIM_ONE_r3,-0.0009379039518534471,-0.0011480182409285833,261
UNET_QUERY_128,A2-A1,0.003262283280491829,0.0011293433606625047,RIM_ONE_r3,0.0012366229668259177,-0.0007890373468398826,261
UNET_QUERY_128,A3-A1,0.006989184953272387,0.0014325030148030216,RIM_ONE_r3,0.003999787755310513,0.0010103905573487504,261
UNET_QUERY_128,A4-A1,0.004189308919012591,0.0029125243425369707,RIM_ONE_r3,0.0020975591614842415,5.809403956003045e-06,261
