arm,backbone,checkpoint_bytes,code_commit,committed_updates,config_digest,data_schedule_digest,deployment_equal,domain,global_step,latency_ms_mean,latency_ms_p95,model_initialization_digest,peak_allocated,peak_reserved,phase,prefix_sha,seed,status,task,trainable_parameters,training_seconds,updates_per_second
A0,DINOV2_VITS14_QUERY,270306284,2205de41b64a7eb263e72c2d4254d222ff813d4a,1000,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,Drishti_GS,3000,26.36308881919831,30.78501964919269,190859844203f530e178165b42ed96c811144b0c1945d8b8e8306e68e468ab48,1612191744,1650458624,development,739345b836028009046474e8fa8c64f05815104b41cd4506aad0e8c87f9ed993,261,COMPLETED,DINOV2_VITS14_QUERY__Drishti_GS__A0,22505540,329.1841534608975,3.0378133014194018
A1,DINOV2_VITS14_QUERY,360397752,2205de41b64a7eb263e72c2d4254d222ff813d4a,1000,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,Drishti_GS,3000,22.199815651401877,22.513726796023548,190859844203f530e178165b42ed96c811144b0c1945d8b8e8306e68e468ab48,1685956096,1728053248,development,739345b836028009046474e8fa8c64f05815104b41cd4506aad0e8c87f9ed993,261,COMPLETED,DINOV2_VITS14_QUERY__Drishti_GS__A1,22505540,250.6891512251459,3.989003892321978
A2,DINOV2_VITS14_QUERY,360397752,2205de41b64a7eb263e72c2d4254d222ff813d4a,1000,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,Drishti_GS,3000,26.75942766945809,28.830338665284216,190859844203f530e178165b42ed96c811144b0c1945d8b8e8306e68e468ab48,1685956096,1728053248,development,739345b836028009046474e8fa8c64f05815104b41cd4506aad0e8c87f9ed993,261,COMPLETED,DINOV2_VITS14_QUERY__Drishti_GS__A2,22505540,255.83360251411796,3.908790675551762
A3,DINOV2_VITS14_QUERY,360397752,2205de41b64a7eb263e72c2d4254d222ff813d4a,1000,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,Drishti_GS,3000,25.89685858692974,29.400399583391845,190859844203f530e178165b42ed96c811144b0c1945d8b8e8306e68e468ab48,1685956096,1728053248,development,739345b836028009046474e8fa8c64f05815104b41cd4506aad0e8c87f9ed993,261,COMPLETED,DINOV2_VITS14_QUERY__Drishti_GS__A3,22505540,415.4070954588242,2.407277128705476
A4,DINOV2_VITS14_QUERY,360397752,2205de41b64a7eb263e72c2d4254d222ff813d4a,1000,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,Drishti_GS,3000,22.940077958628535,22.993850032798946,190859844203f530e178165b42ed96c811144b0c1945d8b8e8306e68e468ab48,1685956096,1728053248,development,739345b836028009046474e8fa8c64f05815104b41cd4506aad0e8c87f9ed993,261,COMPLETED,DINOV2_VITS14_QUERY__Drishti_GS__A4,22505540,396.76526983920485,2.520381888276827
A0,DINOV2_VITS14_QUERY,270306284,2205de41b64a7eb263e72c2d4254d222ff813d4a,1000,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,RIM_ONE_r3,3000,25.82494153175503,28.375888033770025,190859844203f530e178165b42ed96c811144b0c1945d8b8e8306e68e468ab48,1597929984,1650458624,development,18a311c4ffc6e5bcd3ae277b5073d5f4cfb6c6f2689dc3a7692ec575a17a91d0,261,COMPLETED,DINOV2_VITS14_QUERY__RIM_ONE_r3__A0,22505540,277.43094189697877,3.604500612521224
A1,DINOV2_VITS14_QUERY,360397752,2205de41b64a7eb263e72c2d4254d222ff813d4a,1000,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,RIM_ONE_r3,3000,24.777276488021016,26.502227736637007,190859844203f530e178165b42ed96c811144b0c1945d8b8e8306e68e468ab48,1702590464,1730150400,development,18a311c4ffc6e5bcd3ae277b5073d5f4cfb6c6f2689dc3a7692ec575a17a91d0,261,COMPLETED,DINOV2_VITS14_QUERY__RIM_ONE_r3__A1,22505540,329.8325067940168,3.031841857311258
A2,DINOV2_VITS14_QUERY,360397752,2205de41b64a7eb263e72c2d4254d222ff813d4a,1000,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,RIM_ONE_r3,3000,22.732866904698312,23.005158198066056,190859844203f530e178165b42ed96c811144b0c1945d8b8e8306e68e468ab48,1683867136,1728053248,development,18a311c4ffc6e5bcd3ae277b5073d5f4cfb6c6f2689dc3a7692ec575a17a91d0,261,COMPLETED,DINOV2_VITS14_QUERY__RIM_ONE_r3__A2,22505540,247.54319703020155,4.039698977782835
A3,DINOV2_VITS14_QUERY,360397752,2205de41b64a7eb263e72c2d4254d222ff813d4a,1000,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,RIM_ONE_r3,3000,22.772555402480066,23.067680071108043,190859844203f530e178165b42ed96c811144b0c1945d8b8e8306e68e468ab48,1683867136,1728053248,development,18a311c4ffc6e5bcd3ae277b5073d5f4cfb6c6f2689dc3a7692ec575a17a91d0,261,COMPLETED,DINOV2_VITS14_QUERY__RIM_ONE_r3__A3,22505540,251.78122711507604,3.9717019869116466
A4,DINOV2_VITS14_QUERY,360397752,2205de41b64a7eb263e72c2d4254d222ff813d4a,1000,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,RIM_ONE_r3,3000,22.529388894326985,23.092573904432356,190859844203f530e178165b42ed96c811144b0c1945d8b8e8306e68e468ab48,1683867136,1728053248,development,18a311c4ffc6e5bcd3ae277b5073d5f4cfb6c6f2689dc3a7692ec575a17a91d0,261,COMPLETED,DINOV2_VITS14_QUERY__RIM_ONE_r3__A4,22505540,250.53926952416077,3.9913902594960864
