backbone,delta,domain,metric,new_arm,new_value,old_arm,old_training_code_commit,old_value
UNET_QUERY_128,0.0,RIM_ONE_r3,rim,B0,0.7549003977328539,Q0,41dfa243f15b184d728c19422a9f23ddcb346de9,0.7549003977328539
UNET_QUERY_128,0.0,RIM_ONE_r3,cup,B0,0.6881114397197962,Q0,41dfa243f15b184d728c19422a9f23ddcb346de9,0.6881114397197962
UNET_QUERY_128,0.0,RIM_ONE_r3,macro,B0,0.7215059187263251,Q0,41dfa243f15b184d728c19422a9f23ddcb346de9,0.7215059187263251
UNET_QUERY_128,0.0,RIM_ONE_r3,disc_union,B0,0.8947193048894405,Q0,41dfa243f15b184d728c19422a9f23ddcb346de9,0.8947193048894405
UNET_QUERY_128,0.0,RIM_ONE_r3,rim,B1,0.7551267430186271,Q1,41dfa243f15b184d728c19422a9f23ddcb346de9,0.7551267430186271
UNET_QUERY_128,0.0,RIM_ONE_r3,cup,B1,0.6939279682934284,Q1,41dfa243f15b184d728c19422a9f23ddcb346de9,0.6939279682934284
UNET_QUERY_128,0.0,RIM_ONE_r3,macro,B1,0.7245273556560278,Q1,41dfa243f15b184d728c19422a9f23ddcb346de9,0.7245273556560278
UNET_QUERY_128,0.0,RIM_ONE_r3,disc_union,B1,0.8969374090433121,Q1,41dfa243f15b184d728c19422a9f23ddcb346de9,0.8969374090433121
UNET_QUERY_128,0.0,Drishti_GS,rim,B0,0.7155279982089996,Q0,41dfa243f15b184d728c19422a9f23ddcb346de9,0.7155279982089996
UNET_QUERY_128,0.0,Drishti_GS,cup,B0,0.7647876435518265,Q0,41dfa243f15b184d728c19422a9f23ddcb346de9,0.7647876435518265
UNET_QUERY_128,0.0,Drishti_GS,macro,B0,0.740157820880413,Q0,41dfa243f15b184d728c19422a9f23ddcb346de9,0.740157820880413
UNET_QUERY_128,0.0,Drishti_GS,disc_union,B0,0.9470904445648194,Q0,41dfa243f15b184d728c19422a9f23ddcb346de9,0.9470904445648194
UNET_QUERY_128,0.0,Drishti_GS,rim,B1,0.7109080165624618,Q1,41dfa243f15b184d728c19422a9f23ddcb346de9,0.7109080165624618
UNET_QUERY_128,0.0,Drishti_GS,cup,B1,0.7653149688243865,Q1,41dfa243f15b184d728c19422a9f23ddcb346de9,0.7653149688243865
UNET_QUERY_128,0.0,Drishti_GS,macro,B1,0.7381114926934242,Q1,41dfa243f15b184d728c19422a9f23ddcb346de9,0.7381114926934242
UNET_QUERY_128,0.0,Drishti_GS,disc_union,B1,0.9421655869483948,Q1,41dfa243f15b184d728c19422a9f23ddcb346de9,0.9421655869483948
DINOV2_VITS14_QUERY,-0.0002721644937992984,RIM_ONE_r3,rim,B0,0.8457120738923549,Q0,41dfa243f15b184d728c19422a9f23ddcb346de9,0.8459842383861542
DINOV2_VITS14_QUERY,-0.0002252832055091858,RIM_ONE_r3,cup,B0,0.800446355342865,Q0,41dfa243f15b184d728c19422a9f23ddcb346de9,0.8006716385483742
DINOV2_VITS14_QUERY,-0.0002487238496541311,RIM_ONE_r3,macro,B0,0.82307921461761,Q0,41dfa243f15b184d728c19422a9f23ddcb346de9,0.8233279384672642
DINOV2_VITS14_QUERY,-0.00010931044816964164,RIM_ONE_r3,disc_union,B0,0.9545806154608727,Q0,41dfa243f15b184d728c19422a9f23ddcb346de9,0.9546899259090423
DINOV2_VITS14_QUERY,0.00011780187487597793,RIM_ONE_r3,rim,B1,0.8436774969100952,Q1,41dfa243f15b184d728c19422a9f23ddcb346de9,0.8435596950352192
DINOV2_VITS14_QUERY,0.0005425930023192915,RIM_ONE_r3,cup,B1,0.7949814930558204,Q1,41dfa243f15b184d728c19422a9f23ddcb346de9,0.7944389000535012
DINOV2_VITS14_QUERY,0.00033019743859763473,RIM_ONE_r3,macro,B1,0.8193294949829578,Q1,41dfa243f15b184d728c19422a9f23ddcb346de9,0.8189992975443602
DINOV2_VITS14_QUERY,-1.4260411262956296e-06,RIM_ONE_r3,disc_union,B1,0.9538988247513771,Q1,41dfa243f15b184d728c19422a9f23ddcb346de9,0.9539002507925034
DINOV2_VITS14_QUERY,-0.0001278591156006481,Drishti_GS,rim,B0,0.8430620694160461,Q0,41dfa243f15b184d728c19422a9f23ddcb346de9,0.8431899285316468
DINOV2_VITS14_QUERY,-6.43348693847301e-05,Drishti_GS,cup,B0,0.8594240146875382,Q0,41dfa243f15b184d728c19422a9f23ddcb346de9,0.8594883495569229
DINOV2_VITS14_QUERY,-9.60969924926891e-05,Drishti_GS,macro,B0,0.8512430420517921,Q0,41dfa243f15b184d728c19422a9f23ddcb346de9,0.8513391390442848
DINOV2_VITS14_QUERY,-1.0242462158305266e-05,Drishti_GS,disc_union,B0,0.9641436958312988,Q0,41dfa243f15b184d728c19422a9f23ddcb346de9,0.9641539382934571
DINOV2_VITS14_QUERY,-9.721755981451086e-05,Drishti_GS,rim,B1,0.8485866904258728,Q1,41dfa243f15b184d728c19422a9f23ddcb346de9,0.8486839079856873
DINOV2_VITS14_QUERY,-0.00020421564579009566,Drishti_GS,cup,B1,0.8640990024805069,Q1,41dfa243f15b184d728c19422a9f23ddcb346de9,0.864303218126297
DINOV2_VITS14_QUERY,-0.00015071660280230326,Drishti_GS,macro,B1,0.8563428464531898,Q1,41dfa243f15b184d728c19422a9f23ddcb346de9,0.8564935630559921
DINOV2_VITS14_QUERY,4.849433898923561e-05,Drishti_GS,disc_union,B1,0.9638656878471374,Q1,41dfa243f15b184d728c19422a9f23ddcb346de9,0.9638171935081482
