backbone,contrast,delta,domain,metric,seed
UNET_QUERY_128,B2-B0,0.000938136223703534,RIM_ONE_r3,macro,261
UNET_QUERY_128,B2-B0,0.0025876363739371078,RIM_ONE_r3,rim,261
UNET_QUERY_128,B2-B0,-0.0007113639265298177,RIM_ONE_r3,cup,261
UNET_QUERY_128,B3-B1,-0.0015250884927808794,RIM_ONE_r3,macro,261
UNET_QUERY_128,B3-B1,0.000837699882686116,RIM_ONE_r3,rim,261
UNET_QUERY_128,B3-B1,-0.003887876868247986,RIM_ONE_r3,cup,261
UNET_QUERY_128,B1-B0,0.003021436929702692,RIM_ONE_r3,macro,261
UNET_QUERY_128,B1-B0,0.00022634528577325508,RIM_ONE_r3,rim,261
UNET_QUERY_128,B1-B0,0.00581652857363224,RIM_ONE_r3,cup,261
UNET_QUERY_128,B3-B2,0.0005582122132182787,RIM_ONE_r3,macro,261
UNET_QUERY_128,B3-B2,-0.0015235912054777367,RIM_ONE_r3,rim,261
UNET_QUERY_128,B3-B2,0.002640015631914072,RIM_ONE_r3,cup,261
UNET_QUERY_128,B2-B1,-0.002083300705999158,RIM_ONE_r3,macro,261
UNET_QUERY_128,B2-B1,0.0023612910881638527,RIM_ONE_r3,rim,261
UNET_QUERY_128,B2-B1,-0.006527892500162058,RIM_ONE_r3,cup,261
UNET_QUERY_128,B2-B0,-0.0043466654419899164,Drishti_GS,macro,261
UNET_QUERY_128,B2-B0,-0.004730755090713412,Drishti_GS,rim,261
UNET_QUERY_128,B2-B0,-0.00396257579326631,Drishti_GS,cup,261
UNET_QUERY_128,B3-B1,-0.002023731172084875,Drishti_GS,macro,261
UNET_QUERY_128,B3-B1,-0.0030991172790527655,Drishti_GS,rim,261
UNET_QUERY_128,B3-B1,-0.0009483450651168734,Drishti_GS,cup,261
UNET_QUERY_128,B1-B0,-0.0020463281869887995,Drishti_GS,macro,261
UNET_QUERY_128,B1-B0,-0.004619981646537763,Drishti_GS,rim,261
UNET_QUERY_128,B1-B0,0.000527325272560053,Drishti_GS,cup,261
UNET_QUERY_128,B3-B2,0.000276606082916242,Drishti_GS,macro,261
UNET_QUERY_128,B3-B2,-0.0029883438348771163,Drishti_GS,rim,261
UNET_QUERY_128,B3-B2,0.0035415560007094893,Drishti_GS,cup,261
UNET_QUERY_128,B2-B1,-0.002300337255001117,Drishti_GS,macro,261
UNET_QUERY_128,B2-B1,-0.00011077344417564916,Drishti_GS,rim,261
UNET_QUERY_128,B2-B1,-0.004489901065826363,Drishti_GS,cup,261
DINOV2_VITS14_QUERY,B2-B0,0.00023602433502667441,RIM_ONE_r3,macro,261
DINOV2_VITS14_QUERY,B2-B0,0.0005013436079025491,RIM_ONE_r3,rim,261
DINOV2_VITS14_QUERY,B2-B0,-2.929493784908921e-05,RIM_ONE_r3,cup,261
DINOV2_VITS14_QUERY,B3-B1,0.0012373942881822586,RIM_ONE_r3,macro,261
DINOV2_VITS14_QUERY,B3-B1,0.001166553050279684,RIM_ONE_r3,rim,261
