backbone,contrast,delta_mean,metric,seed,supported_cells
UNET_QUERY_128,B2-B0,-0.0017042646091431912,macro,261,2
UNET_QUERY_128,B2-B0,-0.0010715593583881522,rim,261,2
UNET_QUERY_128,B2-B0,-0.0023369698598980637,cup,261,2
UNET_QUERY_128,B3-B1,-0.0017744098324328772,macro,261,2
UNET_QUERY_128,B3-B1,-0.0011307086981833248,rim,261,2
UNET_QUERY_128,B3-B1,-0.0024181109666824296,cup,261,2
UNET_QUERY_128,B1-B0,0.00048755437135694635,macro,261,2
UNET_QUERY_128,B1-B0,-0.002196818180382254,rim,261,2
UNET_QUERY_128,B1-B0,0.0031719269230961467,cup,261,2
UNET_QUERY_128,B3-B2,0.00041740914806726037,macro,261,2
UNET_QUERY_128,B3-B2,-0.0022559675201774265,rim,261,2
UNET_QUERY_128,B3-B2,0.0030907858163117807,cup,261,2
UNET_QUERY_128,B2-B1,-0.0021918189805001376,macro,261,2
UNET_QUERY_128,B2-B1,0.0011252588219941018,rim,261,2
UNET_QUERY_128,B2-B1,-0.00550889678299421,cup,261,2
DINOV2_VITS14_QUERY,B2-B0,-6.614737212695676e-06,macro,261,2
DINOV2_VITS14_QUERY,B2-B0,0.00017285078763962236,rim,261,2
DINOV2_VITS14_QUERY,B2-B0,-0.0001860802620649582,cup,261,2
DINOV2_VITS14_QUERY,B3-B1,0.0008339886739850422,macro,261,2
DINOV2_VITS14_QUERY,B3-B1,0.0008210394531488752,rim,261,2
DINOV2_VITS14_QUERY,B3-B1,0.0008469378948212092,cup,261,2
DINOV2_VITS14_QUERY,B1-B0,0.000675042383372737,macro,261,2
DINOV2_VITS14_QUERY,B1-B0,0.0017450220137834593,rim,261,2
DINOV2_VITS14_QUERY,B1-B0,-0.00039493724703792976,cup,261,2
DINOV2_VITS14_QUERY,B3-B2,0.0015156457945704749,macro,261,2
DINOV2_VITS14_QUERY,B3-B2,0.002393210679292712,rim,261,2
DINOV2_VITS14_QUERY,B3-B2,0.0006380809098482376,cup,261,2
DINOV2_VITS14_QUERY,B2-B1,-0.0006816571205854327,macro,261,2
DINOV2_VITS14_QUERY,B2-B1,-0.001572171226143837,rim,261,2
DINOV2_VITS14_QUERY,B2-B1,0.00020885698497297156,cup,261,2
ALL,B2-B0,-0.0008554396731779434,macro,261,4
ALL,B2-B0,-0.0004493542853742649,rim,261,4
ALL,B2-B0,-0.001261525060981511,cup,261,4
ALL,B3-B1,-0.0004702105792239175,macro,261,4
ALL,B3-B1,-0.0001548346225172248,rim,261,4
ALL,B3-B1,-0.0007855865359306102,cup,261,4
ALL,B1-B0,0.0005812983773648417,macro,261,4
ALL,B1-B0,-0.0002258980832993973,rim,261,4
ALL,B1-B0,0.0013884948380291084,cup,261,4
ALL,B3-B2,0.0009665274713188676,macro,261,4
ALL,B3-B2,6.862157955764281e-05,rim,261,4
ALL,B3-B2,0.0018644333630800092,cup,261,4
ALL,B2-B1,-0.0014367380505427851,macro,261,4
ALL,B2-B1,-0.0002234562020748676,rim,261,4
ALL,B2-B1,-0.0026500198990106194,cup,261,4
UNET_QUERY_128,B2-B0,-0.002065798677504005,macro,262,2
UNET_QUERY_128,B2-B0,-0.002197260260581979,rim,262,2
UNET_QUERY_128,B2-B0,-0.0019343370944261418,cup,262,2
UNET_QUERY_128,B3-B1,0.0016167584247887001,macro,262,2
UNET_QUERY_128,B3-B1,0.0005778564512729512,rim,262,2
UNET_QUERY_128,B3-B1,0.002655660398304449,cup,262,2
UNET_QUERY_128,B1-B0,0.0008680275827646633,macro,262,2
UNET_QUERY_128,B1-B0,0.00028919950127603844,rim,262,2
UNET_QUERY_128,B1-B0,0.0014468556642532326,cup,262,2
UNET_QUERY_128,B3-B2,0.004550584685057368,macro,262,2
UNET_QUERY_128,B3-B2,0.0030643162131309687,rim,262,2
UNET_QUERY_128,B3-B2,0.0060368531569838235,cup,262,2
UNET_QUERY_128,B2-B1,-0.0029338262602686682,macro,262,2
UNET_QUERY_128,B2-B1,-0.0024864597618580175,rim,262,2
UNET_QUERY_128,B2-B1,-0.0033811927586793744,cup,262,2
DINOV2_VITS14_QUERY,B2-B0,0.00031977351754902683,macro,262,2
DINOV2_VITS14_QUERY,B2-B0,0.000495825931429883,rim,262,2
DINOV2_VITS14_QUERY,B2-B0,0.00014372110366828172,cup,262,2
DINOV2_VITS14_QUERY,B3-B1,0.0013300344720482693,macro,262,2
DINOV2_VITS14_QUERY,B3-B1,0.0008908209949732293,rim,262,2
DINOV2_VITS14_QUERY,B3-B1,0.0017692479491234203,cup,262,2
DINOV2_VITS14_QUERY,B1-B0,8.621618151666288e-05,macro,262,2
DINOV2_VITS14_QUERY,B1-B0,0.002741436064243319,rim,262,2
DINOV2_VITS14_QUERY,B1-B0,-0.002569003701209993,cup,262,2
DINOV2_VITS14_QUERY,B3-B2,0.0010964771360159054,macro,262,2
DINOV2_VITS14_QUERY,B3-B2,0.0031364311277866652,rim,262,2
DINOV2_VITS14_QUERY,B3-B2,-0.0009434768557548545,cup,262,2
DINOV2_VITS14_QUERY,B2-B1,0.00023355733603236395,macro,262,2
DINOV2_VITS14_QUERY,B2-B1,-0.002245610132813436,rim,262,2
DINOV2_VITS14_QUERY,B2-B1,0.002712724804878275,cup,262,2
ALL,B2-B0,-0.000873012579977489,macro,262,4
ALL,B2-B0,-0.0008507171645760481,rim,262,4
ALL,B2-B0,-0.00089530799537893,cup,262,4
ALL,B3-B1,0.0014733964484184847,macro,262,4
ALL,B3-B1,0.0007343387231230902,rim,262,4
ALL,B3-B1,0.0022124541737139347,cup,262,4
ALL,B1-B0,0.0004771218821406631,macro,262,4
ALL,B1-B0,0.0015153177827596787,rim,262,4
ALL,B1-B0,-0.0005610740184783802,cup,262,4
ALL,B3-B2,0.002823530910536637,macro,262,4
ALL,B3-B2,0.003100373670458817,rim,262,4
ALL,B3-B2,0.0025466881506144845,cup,262,4
ALL,B2-B1,-0.0013501344621181521,macro,262,4
ALL,B2-B1,-0.0023660349473357267,rim,262,4
ALL,B2-B1,-0.0003342339769005498,cup,262,4
UNET_QUERY_128,B2-B0,0.0006571053015068107,macro,263,2
UNET_QUERY_128,B2-B0,-0.00017424316145481233,rim,263,2
UNET_QUERY_128,B2-B0,0.0014884537644684337,cup,263,2
UNET_QUERY_128,B3-B1,-0.00047992593608797707,macro,263,2
UNET_QUERY_128,B3-B1,0.00029915667138991076,rim,263,2
UNET_QUERY_128,B3-B1,-0.0012590085435658649,cup,263,2
UNET_QUERY_128,B1-B0,0.006986588044092135,macro,263,2
UNET_QUERY_128,B1-B0,0.004918696917593501,rim,263,2
UNET_QUERY_128,B1-B0,0.009054479170590657,cup,263,2
UNET_QUERY_128,B3-B2,0.005849556806497347,macro,263,2
UNET_QUERY_128,B3-B2,0.0053920967504382245,rim,263,2
UNET_QUERY_128,B3-B2,0.006307016862556358,cup,263,2
UNET_QUERY_128,B2-B1,-0.006329482742585324,macro,263,2
UNET_QUERY_128,B2-B1,-0.005092940079048314,rim,263,2
UNET_QUERY_128,B2-B1,-0.007566025406122223,cup,263,2
DINOV2_VITS14_QUERY,B2-B0,0.0002737390995025124,macro,263,2
DINOV2_VITS14_QUERY,B2-B0,0.0002932670712471608,rim,263,2
DINOV2_VITS14_QUERY,B2-B0,0.00025421112775797505,cup,263,2
DINOV2_VITS14_QUERY,B3-B1,0.0008389248698949525,macro,263,2
DINOV2_VITS14_QUERY,B3-B1,0.00047328397631651864,rim,263,2
DINOV2_VITS14_QUERY,B3-B1,0.0012045657634734974,cup,263,2
DINOV2_VITS14_QUERY,B1-B0,-5.7000108063254284e-05,macro,263,2
DINOV2_VITS14_QUERY,B1-B0,0.0017430678009986988,rim,263,2
DINOV2_VITS14_QUERY,B1-B0,-0.001857068017125152,cup,263,2
DINOV2_VITS14_QUERY,B3-B2,0.0005081856623291858,macro,263,2
DINOV2_VITS14_QUERY,B3-B2,0.0019230847060680567,rim,263,2
DINOV2_VITS14_QUERY,B3-B2,-0.0009067133814096295,cup,263,2
DINOV2_VITS14_QUERY,B2-B1,0.0003307392075657667,macro,263,2
DINOV2_VITS14_QUERY,B2-B1,-0.001449800729751538,rim,263,2
DINOV2_VITS14_QUERY,B2-B1,0.002111279144883127,cup,263,2
ALL,B2-B0,0.00046542220050466154,macro,263,4
ALL,B2-B0,5.9511954896174224e-05,rim,263,4
ALL,B2-B0,0.0008713324461132044,cup,263,4
ALL,B3-B1,0.00017949946690348773,macro,263,4
ALL,B3-B1,0.0003862203238532147,rim,263,4
ALL,B3-B1,-2.7221390046183735e-05,cup,263,4
ALL,B1-B0,0.00346479396801444,macro,263,4
ALL,B1-B0,0.0033308823592961,rim,263,4
ALL,B1-B0,0.0035987055767327525,cup,263,4
ALL,B3-B2,0.0031788712344132664,macro,263,4
ALL,B3-B2,0.0036575907282531406,rim,263,4
ALL,B3-B2,0.0027001517405733644,cup,263,4
ALL,B2-B1,-0.0029993717675097786,macro,263,4
ALL,B2-B1,-0.003271370404399926,rim,263,4
ALL,B2-B1,-0.002727373130619548,cup,263,4
