backbone,count,domain,matched_gt_class,prototype_top1_class
UNET_QUERY_128,32,RIM_ONE_r3,0,0
UNET_QUERY_128,0,RIM_ONE_r3,0,1
UNET_QUERY_128,0,RIM_ONE_r3,0,2
UNET_QUERY_128,0,RIM_ONE_r3,1,0
UNET_QUERY_128,32,RIM_ONE_r3,1,1
UNET_QUERY_128,0,RIM_ONE_r3,1,2
UNET_QUERY_128,0,RIM_ONE_r3,2,0
UNET_QUERY_128,0,RIM_ONE_r3,2,1
UNET_QUERY_128,32,RIM_ONE_r3,2,2
UNET_QUERY_128,32,Drishti_GS,0,0
UNET_QUERY_128,0,Drishti_GS,0,1
UNET_QUERY_128,0,Drishti_GS,0,2
UNET_QUERY_128,0,Drishti_GS,1,0
UNET_QUERY_128,32,Drishti_GS,1,1
UNET_QUERY_128,0,Drishti_GS,1,2
UNET_QUERY_128,0,Drishti_GS,2,0
UNET_QUERY_128,0,Drishti_GS,2,1
UNET_QUERY_128,32,Drishti_GS,2,2
DINOV2_VITS14_QUERY,32,RIM_ONE_r3,0,0
DINOV2_VITS14_QUERY,0,RIM_ONE_r3,0,1
DINOV2_VITS14_QUERY,0,RIM_ONE_r3,0,2
DINOV2_VITS14_QUERY,0,RIM_ONE_r3,1,0
DINOV2_VITS14_QUERY,32,RIM_ONE_r3,1,1
DINOV2_VITS14_QUERY,0,RIM_ONE_r3,1,2
DINOV2_VITS14_QUERY,0,RIM_ONE_r3,2,0
DINOV2_VITS14_QUERY,3,RIM_ONE_r3,2,1
DINOV2_VITS14_QUERY,29,RIM_ONE_r3,2,2
DINOV2_VITS14_QUERY,0,Drishti_GS,0,0
DINOV2_VITS14_QUERY,32,Drishti_GS,0,1
DINOV2_VITS14_QUERY,0,Drishti_GS,0,2
DINOV2_VITS14_QUERY,32,Drishti_GS,1,0
DINOV2_VITS14_QUERY,0,Drishti_GS,1,1
DINOV2_VITS14_QUERY,0,Drishti_GS,1,2
DINOV2_VITS14_QUERY,0,Drishti_GS,2,0
DINOV2_VITS14_QUERY,0,Drishti_GS,2,1
DINOV2_VITS14_QUERY,32,Drishti_GS,2,2
